knowledge_point_id,target_level,required_question_types,min_approved_versions,current_approved_versions,gap_status,owner_action
math-prob,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
rl-discount,掌握,概念题|应用题|推导题|复测题,4,8,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
algo-dp,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
rl-bellman,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
rl-mdp,掌握,概念题|应用题|情境题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
rl-qlearning,掌握,概念题|应用题|代码题|复测题,4,8,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-neuron,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-activation,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-forward,掌握,概念题|应用题|代码题|复测题,4,5,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-loss,掌握,概念题|应用题|推导题|复测题,4,5,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-backprop,掌握,概念题|应用题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-training,掌握,概念题|应用题|代码题|复测题,4,8,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-learning-task,掌握,概念题|分类题|情境题|复测题,4,5,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-learning-paradigm,掌握,概念题|解释题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-regression,掌握,概念题|应用题|建模题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-linear-regression,掌握,概念题|计算题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-logistic-regression,掌握,概念题|应用题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-loss-function,掌握,概念题|计算题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-gradient-descent,掌握,概念题|计算题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-classification,掌握,概念题|应用题|评价题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-clustering,掌握,概念题|应用题|比较题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-ensemble,掌握,概念题|应用题|比较题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
ml-model-selection,掌握,概念题|评价题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-linear-algebra,掌握,概念题|计算题|推导题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-probability,掌握,概念题|计算题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-linear-regression,掌握,概念题|计算题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-softmax,掌握,概念题|计算题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-mlp,掌握,概念题|推导题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-generalization,掌握,概念题|评价题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-initialization,掌握,概念题|解释题|实验题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-convolution,掌握,概念题|计算题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-padding-stride,掌握,概念题|计算题|应用题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-pooling,掌握,概念题|计算题|比较题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-sequence,掌握,概念题|应用题|建模题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
dl-rnn,掌握,概念题|推导题|代码题|复测题,4,4,review_required,独立题已写入；需运行题库质量审核并由内容负责人填写人工校准结果。
prog-python,掌握,概念题|代码题|调试题|复测题,4,4,review_required,需由内容负责人完成Python题目人工校准。
prog-qtable,掌握,概念题|代码题|调试题|复测题,4,4,review_required,需由内容负责人完成Q表实现题目人工校准。
