question_id,primary_stage,allowed_stages,repeat_policy,practice_max_exposures,suggested_minutes,cognitive_level,requires_code_environment,selection_note,status
ml-q01,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q02,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q03,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q04,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q05,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q06,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q01,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q02,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q03,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q04,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q05,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,8,应用,伪代码或Notebook（按题目要求）,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q06,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q07,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q08,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q09,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q10,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q11,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q12,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q13,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q14,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q15,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q16,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
ml-q17,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,评价,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q07,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q08,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q09,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q10,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q11,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q12,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q13,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q14,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,3,记忆与理解,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
dl-q15,diagnostic,diagnostic|practice|retest,每个诊断周期最多一次；复测池不足时可作为回退题,2,5,应用,不需要,自动按题型和版本生成；内容负责人可在人工审核后调整。,active
