knowledge_point_id,target_level,required_question_types,min_approved_versions,current_approved_versions,gap_status,owner_action
math-prob,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
rl-discount,掌握,概念题|应用题|推导题|复测题,4,8,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
algo-dp,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
rl-bellman,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
rl-mdp,掌握,概念题|应用题|情境题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
rl-qlearning,掌握,概念题|应用题|代码题|复测题,4,8,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-neuron,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-activation,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-forward,掌握,概念题|应用题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-loss,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-backprop,掌握,概念题|应用题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-training,掌握,概念题|应用题|代码题|复测题,4,8,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-learning-task,掌握,概念题|分类题|情境题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-learning-paradigm,掌握,概念题|解释题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-regression,掌握,概念题|应用题|建模题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-linear-regression,掌握,概念题|计算题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-logistic-regression,掌握,概念题|应用题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-loss-function,掌握,概念题|计算题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-gradient-descent,掌握,概念题|计算题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-classification,掌握,概念题|应用题|评价题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-clustering,掌握,概念题|应用题|比较题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-ensemble,掌握,概念题|应用题|比较题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
ml-model-selection,掌握,概念题|评价题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-linear-algebra,掌握,概念题|计算题|推导题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-probability,掌握,概念题|计算题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-linear-regression,掌握,概念题|计算题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-softmax,掌握,概念题|计算题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-mlp,掌握,概念题|推导题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-generalization,掌握,概念题|评价题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-initialization,掌握,概念题|解释题|实验题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-convolution,掌握,概念题|计算题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-padding-stride,掌握,概念题|计算题|应用题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-pooling,掌握,概念题|计算题|比较题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-sequence,掌握,概念题|应用题|建模题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
dl-rnn,掌握,概念题|推导题|代码题|复测题,4,4,ready,已具备掌握级题目数量；内容负责人抽检题干、答案与难度后可发布
