question_id,preliminary_correctness,difficulty_assessment,mastery_evidence_assessment,action,reason,human_decision,human_reviewer,reviewed_at,status
ml-q01,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,折扣因子的基础定义表述可用,,, ,waiting_human_calibration
ml-q02,语义基本正确,熟悉-合适,不适用-基础题,保留并人工抽检,一步回报计算可用但应补多步回报和终止状态案例,,, ,waiting_human_calibration
ml-q03,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,可区分 MDP 与网络结构,,, ,waiting_human_calibration
ml-q04,语义基本正确,熟悉-偏低,不适用-基础题,补写,应补含折扣因子和最优动作选择的贝尔曼计算题,,, ,waiting_human_calibration
ml-q05,语义基本正确,掌握-待人工确认,代码运行结果题,保留并人工抽检,已改为 Q 表更新计算题；需人工确认数值和表达,,, ,waiting_human_calibration
ml-q06,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,Q 值学习对象的基础概念可用,,, ,waiting_human_calibration
dl-q01,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,神经元基本计算链条可用,,, ,waiting_human_calibration
dl-q02,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,激活函数作用可用,,, ,waiting_human_calibration
dl-q03,语义基本正确,熟悉-偏低,不适用-基础题,补写,应补具体张量或样本的前向计算题,,, ,waiting_human_calibration
dl-q04,语义基本正确,熟悉-偏低,不适用-基础题,补写,应补链式法则或梯度方向判断题,,, ,waiting_human_calibration
dl-q05,语义基本正确,掌握-待人工确认,代码阅读题,保留并人工抽检,已改为训练代码中参数更新步骤识别；需人工确认难度,,, ,waiting_human_calibration
dl-q06,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,训练流程的下一步判断可用,,, ,waiting_human_calibration
ml-q07,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,回归任务识别可用,,, ,waiting_human_calibration
ml-q08,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,学习范式概述可用,,, ,waiting_human_calibration
ml-q09,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,连续目标与回归对应可用,,, ,waiting_human_calibration
ml-q10,语义基本正确,基本了解-合适,不适用-基础题,补写,仅覆盖代入计算；应补拟合误差和参数解释,,, ,waiting_human_calibration
ml-q11,语义基本正确,基本了解-合适,不适用-基础题,补写,应补 sigmoid 概率和阈值决策案例,,, ,waiting_human_calibration
ml-q12,语义基本正确,基本了解-合适,不适用-基础题,补写,题型标计算题但实际为概念题；应补具体损失计算,,, ,waiting_human_calibration
ml-q13,语义基本正确,基本了解-合适,不适用-基础题,补写,应补一次梯度更新计算和学习率影响,,, ,waiting_human_calibration
ml-q14,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,分类任务识别可用,,, ,waiting_human_calibration
ml-q15,语义基本正确,基本了解-合适,不适用-基础题,补写,应补聚类目标与距离度量案例,,, ,waiting_human_calibration
ml-q16,语义基本正确,基本了解-合适,不适用-基础题,补写,应补 bagging 与 boosting 的比较案例,,, ,waiting_human_calibration
ml-q17,语义基本正确,熟悉-待人工确认,评价题,保留并人工抽检,已明确验证集用于模型选择、测试集用于最终评估,,, ,waiting_human_calibration
dl-q07,语义基本正确,基本了解-待人工确认,计算题,保留并人工抽检,已改为明确的矩阵乘向量计算题,,, ,waiting_human_calibration
dl-q08,语义基本正确,基本了解-合适,不适用-基础题,补写,应补概率计算或条件概率应用,,, ,waiting_human_calibration
dl-q09,语义基本正确,基本了解-合适,不适用-基础题,补写,应补损失最小化和参数更新案例,,, ,waiting_human_calibration
dl-q10,语义基本正确,基本了解-合适,不适用-基础题,补写,应补 Softmax 概率归一化计算,,, ,waiting_human_calibration
dl-q11,语义基本正确,基本了解-合适,不适用-基础题,补写,应补隐藏层形状或非线性表达反例,,, ,waiting_human_calibration
dl-q12,语义基本正确,基本了解-合适,不适用-基础题,补写,应补训练验证曲线的模型选择案例,,, ,waiting_human_calibration
dl-q13,语义基本正确,基本了解-合适,不适用-基础题,补写,应补梯度爆炸消失的诊断与初始化实验,,, ,waiting_human_calibration
dl-q14,语义基本正确,基本了解-合适,不适用-基础题,补写,应补输出形状或卷积核参数量计算,,, ,waiting_human_calibration
dl-q15,语义基本正确,基本了解-合适,不适用-基础题,补写,应补有具体输入尺寸和卷积核的输出尺寸计算,,, ,waiting_human_calibration
dl-q16,语义基本正确,基本了解-合适,不适用-基础题,补写,应补池化窗口计算或与卷积的比较,,, ,waiting_human_calibration
dl-q17,语义基本正确,基本了解-合适,不适用-基础题,补写,应补时间窗或序列预测情境题,,, ,waiting_human_calibration
dl-q18,语义基本正确,基本了解-合适,不适用-基础题,补写,应补隐藏状态递推或梯度问题案例,,, ,waiting_human_calibration
py-q01,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,列表与循环的基础语义可用，需人工抽检干扰项,,, ,waiting_human_calibration
qt-q01,语义基本正确,基本了解-合适,不适用-基础题,保留并人工抽检,Q表条目的基础定义可用，需人工抽检术语与干扰项,,, ,waiting_human_calibration
