question_id,option_index,option_text,knowledge_point_id,is_correct,misconception_code,misconception_label,remediation_knowledge_point_id,reviewer,reviewed_at,status
ml-q01,0,未来奖励相对当前奖励的权重,rl-discount,true,,正确选项,rl-discount,,,not_applicable
ml-q01,1,状态数量,rl-discount,false,pending-ml-q01-1,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q01,2,动作数量,rl-discount,false,pending-ml-q01-2,待内容负责人填写：该错误选项反映的具体误解,rl-discount,,,waiting_human_confirmation
ml-q02,0,8,math-prob,false,pending-ml-q02-0,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q02,1,10,math-prob,true,,正确选项,math-prob,,,not_applicable
ml-q02,2,12,math-prob,false,pending-ml-q02-2,待内容负责人填写：该错误选项反映的具体误解,math-prob,,,waiting_human_confirmation
ml-q03,0,状态,rl-mdp,false,pending-ml-q03-0,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03,1,动作,rl-mdp,false,pending-ml-q03-1,待内容负责人填写：该错误选项反映的具体误解,rl-mdp,,,waiting_human_confirmation
ml-q03,2,固定的神经网络层数,rl-mdp,true,,正确选项,rl-mdp,,,not_applicable
ml-q04,0,下一状态的价值,rl-bellman,true,,正确选项,rl-bellman,,,not_applicable
ml-q04,1,随机删除数据,rl-bellman,false,pending-ml-q04-1,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q04,2,更多类别标签,rl-bellman,false,pending-ml-q04-2,待内容负责人填写：该错误选项反映的具体误解,rl-bellman,,,waiting_human_confirmation
ml-q05,0,1.25,rl-qlearning,false,pending-ml-q05-0,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q05,1,1.75,rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q05,2,4.00,rl-qlearning,false,pending-ml-q05-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06,0,"状态动作价值 Q(s,a)",rl-qlearning,true,,正确选项,rl-qlearning,,,not_applicable
ml-q06,1,每个样本的固定标签,rl-qlearning,false,pending-ml-q06-1,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
ml-q06,2,神经网络的层数,rl-qlearning,false,pending-ml-q06-2,待内容负责人填写：该错误选项反映的具体误解,rl-qlearning,,,waiting_human_confirmation
dl-q01,0,加权求和再加偏置,dl-neuron,true,,正确选项,dl-neuron,,,not_applicable
dl-q01,1,删除所有输入,dl-neuron,false,pending-dl-q01-1,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q01,2,随机改变标签,dl-neuron,false,pending-dl-q01-2,待内容负责人填写：该错误选项反映的具体误解,dl-neuron,,,waiting_human_confirmation
dl-q02,0,引入非线性,dl-activation,true,,正确选项,dl-activation,,,not_applicable
dl-q02,1,增加样本数量,dl-activation,false,pending-dl-q02-1,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q02,2,替代损失函数,dl-activation,false,pending-dl-q02-2,待内容负责人填写：该错误选项反映的具体误解,dl-activation,,,waiting_human_confirmation
dl-q03,0,计算损失,dl-loss,true,,正确选项,dl-loss,,,not_applicable
dl-q03,1,直接删除参数,dl-loss,false,pending-dl-q03-1,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q03,2,跳过训练,dl-loss,false,pending-dl-q03-2,待内容负责人填写：该错误选项反映的具体误解,dl-loss,,,waiting_human_confirmation
dl-q04,0,计算参数的梯度,dl-backprop,true,,正确选项,dl-backprop,,,not_applicable
dl-q04,1,增加隐藏层数量,dl-backprop,false,pending-dl-q04-1,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q04,2,固定预测结果,dl-backprop,false,pending-dl-q04-2,待内容负责人填写：该错误选项反映的具体误解,dl-backprop,,,waiting_human_confirmation
dl-q05,0,"`loss_fn(y_hat,y)`",dl-training,false,pending-dl-q05-0,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05,1,`loss.backward()`,dl-training,false,pending-dl-q05-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q05,2,`optimizer.step()`,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q06,0,计算预测与标签之间的损失,dl-training,true,,正确选项,dl-training,,,not_applicable
dl-q06,1,直接删除模型参数,dl-training,false,pending-dl-q06-1,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
dl-q06,2,跳过反向传播并结束训练,dl-training,false,pending-dl-q06-2,待内容负责人填写：该错误选项反映的具体误解,dl-training,,,waiting_human_confirmation
ml-q07,0,回归,ml-learning-task,true,,正确选项,ml-learning-task,,,not_applicable
ml-q07,1,聚类,ml-learning-task,false,pending-ml-q07-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q07,2,排序,ml-learning-task,false,pending-ml-q07-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-task,,,waiting_human_confirmation
ml-q08,0,根据数据调整模型参数,ml-learning-paradigm,true,,正确选项,ml-learning-paradigm,,,not_applicable
ml-q08,1,固定参数不再变化,ml-learning-paradigm,false,pending-ml-q08-1,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q08,2,只记住每个训练样本,ml-learning-paradigm,false,pending-ml-q08-2,待内容负责人填写：该错误选项反映的具体误解,ml-learning-paradigm,,,waiting_human_confirmation
ml-q09,0,明天的气温,ml-regression,true,,正确选项,ml-regression,,,not_applicable
ml-q09,1,邮件是否垃圾,ml-regression,false,pending-ml-q09-1,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q09,2,用户属于哪个聚类,ml-regression,false,pending-ml-q09-2,待内容负责人填写：该错误选项反映的具体误解,ml-regression,,,waiting_human_confirmation
ml-q10,0,7,ml-linear-regression,true,,正确选项,ml-linear-regression,,,not_applicable
ml-q10,1,6,ml-linear-regression,false,pending-ml-q10-1,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q10,2,5,ml-linear-regression,false,pending-ml-q10-2,待内容负责人填写：该错误选项反映的具体误解,ml-linear-regression,,,waiting_human_confirmation
ml-q11,0,属于正类的概率,ml-logistic-regression,true,,正确选项,ml-logistic-regression,,,not_applicable
ml-q11,1,任意连续售价,ml-logistic-regression,false,pending-ml-q11-1,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q11,2,聚类中心编号,ml-logistic-regression,false,pending-ml-q11-2,待内容负责人填写：该错误选项反映的具体误解,ml-logistic-regression,,,waiting_human_confirmation
ml-q12,0,2.5,ml-loss-function,false,pending-ml-q12-0,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q12,1,5,ml-loss-function,true,,正确选项,ml-loss-function,,,not_applicable
ml-q12,2,10,ml-loss-function,false,pending-ml-q12-2,待内容负责人填写：该错误选项反映的具体误解,ml-loss-function,,,waiting_human_confirmation
ml-q13,0,负梯度方向,ml-gradient-descent,true,,正确选项,ml-gradient-descent,,,not_applicable
ml-q13,1,正梯度方向,ml-gradient-descent,false,pending-ml-q13-1,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q13,2,随机固定方向,ml-gradient-descent,false,pending-ml-q13-2,待内容负责人填写：该错误选项反映的具体误解,ml-gradient-descent,,,waiting_human_confirmation
ml-q14,0,分类,ml-classification,true,,正确选项,ml-classification,,,not_applicable
ml-q14,1,回归,ml-classification,false,pending-ml-q14-1,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q14,2,降维,ml-classification,false,pending-ml-q14-2,待内容负责人填写：该错误选项反映的具体误解,ml-classification,,,waiting_human_confirmation
ml-q15,0,聚类通常没有预先给定的标签,ml-clustering,true,,正确选项,ml-clustering,,,not_applicable
ml-q15,1,聚类必须预测连续值,ml-clustering,false,pending-ml-q15-1,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q15,2,聚类不使用任何数据,ml-clustering,false,pending-ml-q15-2,待内容负责人填写：该错误选项反映的具体误解,ml-clustering,,,waiting_human_confirmation
ml-q16,0,组合多个模型的预测,ml-ensemble,true,,正确选项,ml-ensemble,,,not_applicable
ml-q16,1,只保留一个样本,ml-ensemble,false,pending-ml-q16-1,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q16,2,删除所有弱模型数据,ml-ensemble,false,pending-ml-q16-2,待内容负责人填写：该错误选项反映的具体误解,ml-ensemble,,,waiting_human_confirmation
ml-q17,0,验证集表现,ml-model-selection,true,,正确选项,ml-model-selection,,,not_applicable
ml-q17,1,训练集表现,ml-model-selection,false,pending-ml-q17-1,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
ml-q17,2,最终测试集反复调参,ml-model-selection,false,pending-ml-q17-2,待内容负责人填写：该错误选项反映的具体误解,ml-model-selection,,,waiting_human_confirmation
dl-q07,0,"[1,3]",dl-linear-algebra,true,,正确选项,dl-linear-algebra,,,not_applicable
dl-q07,1,"[2,4]",dl-linear-algebra,false,pending-dl-q07-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q07,2,"[3,7]",dl-linear-algebra,false,pending-dl-q07-2,待内容负责人填写：该错误选项反映的具体误解,dl-linear-algebra,,,waiting_human_confirmation
dl-q08,0,随机变量各可能取值的规律,dl-probability,true,,正确选项,dl-probability,,,not_applicable
dl-q08,1,模型固定层数,dl-probability,false,pending-dl-q08-1,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q08,2,训练轮数,dl-probability,false,pending-dl-q08-2,待内容负责人填写：该错误选项反映的具体误解,dl-probability,,,waiting_human_confirmation
dl-q09,0,预测与真实值之间的损失,dl-linear-regression,true,,正确选项,dl-linear-regression,,,not_applicable
dl-q09,1,训练数据的行数,dl-linear-regression,false,pending-dl-q09-1,待内容负责人填写：该错误选项反映的具体误解,dl-linear-regression,,,waiting_human_confirmation
