mastery_task_id,book_id,knowledge_point_id,task_type,title,prompt,rubric,max_score,source_note,status
mt-rl-discount,ml-001,rl-discount,简答题,折扣因子决策解释,给出即时奖励优先和长期回报优先两个产品目标。分别建议较小或较大的 gamma 并解释原因。,能正确说明 gamma 对未来奖励权重的影响且给出合理选择依据,4,强化学习基础·折扣因子,approved
mt-math-prob,ml-001,math-prob,推导题,三步回报推导,奖励序列为 2 3 5 且 gamma 为 0.5。写出并计算从第一步开始的折扣回报。,公式正确计算结果正确并说明终止后价值为零,4,强化学习基础·长期回报,approved
mt-algo-dp,ml-001,algo-dp,调试题,价值迭代更新诊断,同学把价值更新写成 V(s)=max_a R(s a)。指出遗漏内容并写出包含下一状态价值的正确结构。,指出遗漏未来价值和折扣项并给出合理递推形式,4,强化学习基础·动态规划,approved
mt-rl-bellman,ml-001,rl-bellman,推导题,贝尔曼更新计算,已知即时奖励为 1 下一状态价值为 8 gamma 为 0.75。计算动作价值目标并写出计算过程。,目标值为 7且过程含即时奖励加折扣未来价值,4,强化学习基础·贝尔曼方程,approved
mt-rl-mdp,ml-001,rl-mdp,建模题,网格机器人MDP,为仓库机器人到终点任务写出状态动作奖励和一个转移不确定性的例子。,四个组成完整且状态动作奖励转移定义相互一致,4,强化学习基础·MDP,approved
mt-rl-qlearning,ml-001,rl-qlearning,代码实现题,Q表更新函数,补全 q_value 的 Q Learning 更新伪代码并处理终止状态。,目标使用奖励加 gamma 乘下一状态最大Q值且终止状态未来值为零,4,强化学习实践·Q Learning,approved
mt-ml-task,ml-001,ml-learning-task,建模题,任务类型辨析,分别为房价预测 垃圾邮件识别 用户分群 指定机器学习任务并说明标签形式。,三个任务分类正确并能说明连续值类别和无标签区别,4,机器学习概览,approved
mt-ml-paradigm,ml-001,ml-learning-paradigm,简答题,训练验证测试分工,解释训练集 验证集 测试集分别用于什么并说明为何不能反复用测试集调参。,三者用途正确且说明测试泄漏会高估泛化,4,机器学习技术与任务,approved
mt-ml-regression,ml-001,ml-regression,建模题,二手车价格建模,给出二手车价格预测的标签和至少三个合理特征并说明为何是回归。,标签为连续价格特征合理并说明连续目标,4,回归模型,approved
mt-ml-linear-regression,ml-001,ml-linear-regression,代码实现题,批量线性预测,写出使用矩阵 X 权重 w 偏置 b 计算批量预测 y_hat 的一行伪代码并说明形状关系。,表达式为X乘w加b且形状说明合理,4,线性与多项式回归,approved
mt-ml-logistic,ml-001,ml-logistic-regression,调试题,二分类阈值错误,某模型把概率大于 0.5 的样本预测为负类。指出错误并写出正确判断。,指出正负类判断反了并给出正确阈值规则,4,逻辑回归,approved
mt-ml-loss,ml-001,ml-loss-function,推导题,均方误差推导,真实值为 1 4 预测为 2 2。计算 MSE 并解释损失为何可用于训练。,结果为2.5且说明损失量化预测误差供优化,4,损失函数,approved
mt-ml-gradient,ml-001,ml-gradient-descent,调试题,梯度更新方向,参数为 3 梯度为 -4 学习率为 0.1。计算一次梯度下降更新并解释为何不是加负梯度。,更新结果为3.4且能正确解释减去梯度,4,梯度下降,approved
mt-ml-classification,ml-001,ml-classification,评价题,医疗筛查指标选择,漏诊代价很高时应优先关注精确率还是召回率。说明理由并给出混淆矩阵中的对应含义。,选择召回率并说明真实正例被识别比例和漏诊关系,4,分类入门,approved
mt-ml-clustering,ml-001,ml-clustering,建模题,用户聚类解释,为无标签用户分群提出两个特征并说明如何解释一个聚类结果。,特征可量化且能说明簇代表的行为模式,4,聚类模型,approved
mt-ml-ensemble,ml-001,ml-ensemble,比较题,Bagging与Boosting选择,比较 Bagging 和 Boosting 的训练方式并给出一个适用场景。,能说明并行重采样与序列关注难例的区别并给出合理场景,4,集成学习入门,approved
mt-ml-model-selection,ml-001,ml-model-selection,评价题,验证曲线决策,模型A训练95验证72模型B训练88验证85。选择一个模型并解释。,选择B并以验证泛化和训练验证差距解释,4,模型选择,approved
mt-dl-linear-algebra,dl-001,dl-linear-algebra,推导题,矩阵形状与乘法,给出2乘3矩阵和3乘1向量。说明乘积形状并手算一个自选例子。,形状正确且矩阵乘法计算正确,4,线性代数,approved
mt-dl-probability,dl-001,dl-probability,简答题,分类概率解释,模型对三类输出0.6 0.3 0.1。解释它们的含义和为何不等于模型一定正确。,说明概率和为1且最高概率非绝对正确,4,概率,approved
mt-dl-linear-regression,dl-001,dl-linear-regression,代码实现题,线性网络训练步骤,写出前向计算 损失 反向传播 参数更新四步伪代码。,四步顺序正确且包含清梯度或等价处理,4,线性回归,approved
mt-dl-softmax,dl-001,dl-softmax,调试题,Softmax概率检查,某三分类 Softmax 输出为0.7 0.6 0.2。指出问题并说明正确约束。,指出总和不能超过1并说明非负且和为1,4,Softmax回归,approved
mt-dl-mlp,dl-001,dl-mlp,代码实现题,MLP结构设计,为4维输入和3类输出写一个含隐藏层及ReLU的最小MLP结构。,输入隐藏输出维度合理且在线性层间有非线性,4,多层感知机,approved
mt-dl-generalization,dl-001,dl-generalization,评价题,过拟合补救方案,训练损失下降验证损失连续上升。提出两项处理并解释它们如何改善泛化。,至少两项如正则化早停数据增强且解释合理,4,模型选择与过拟合,approved
mt-dl-initialization,dl-001,dl-initialization,实验题,初始化对比实验,设计比较两种初始化的实验。说明要记录的两个信号和判断标准。,包含激活或梯度统计及损失曲线等有效指标,4,数值稳定性与初始化,approved
mt-dl-convolution,dl-001,dl-convolution,代码实现题,卷积层配置,为RGB输入配置16个3乘3卷积核的层并解释输入输出通道含义。,配置等价于Conv2d 3到16核3且通道解释正确,4,卷积层,approved
mt-dl-padding,dl-001,dl-padding-stride,调试题,卷积尺寸错误,32乘32输入用3乘3核步幅1无填充却期望32乘32输出。给出最小修正。,指出需padding1并能说明输出尺寸公式,4,填充和步幅,approved
mt-dl-pooling,dl-001,dl-pooling,比较题,池化选择,比较最大池化和平均池化并对给定2乘2窗口各算一次输出。,能说明两种规则差异且计算正确,4,池化,approved
mt-dl-sequence,dl-001,dl-sequence,建模题,销量时间窗,用过去7天销量预测第8天。描述一个训练样本的输入输出和为什么不能打乱时间。,时间窗定义正确并说明顺序依赖,4,序列模型,approved
mt-dl-rnn,dl-001,dl-rnn,代码实现题,RNN隐藏状态循环,写出一个RNN时间步更新伪代码并说明h如何传到下一步。,使用当前输入和上一隐藏状态产生新隐藏状态且传递关系正确,4,循环神经网络,approved
mt-dl-neuron,dl-001,dl-neuron,推导题,神经元前向计算,输入2和-1 权重0.5和1 偏置1。计算激活前输出并写过程。,结果为1且加权和加偏置过程正确,4,人工神经元,approved
mt-dl-activation,dl-001,dl-activation,比较题,激活函数必要性,解释为什么连续线性层不能提升表达力并用ReLU举例。,说明线性复合仍线性并正确描述ReLU,4,激活函数,approved
mt-dl-forward,dl-001,dl-forward,调试题,前向损失顺序,同学先调用backward再计算loss。指出正确顺序并说明原因。,先前向再损失再反向且说明梯度来源,4,前向传播,approved
