section_id,ability_id,relation_type,weight,status
sec-ml-001,conceptual,primary,1.0,active
sec-ml-002,conceptual,primary,0.9,active
sec-ml-003,conceptual,primary,0.9,active
sec-ml-004,math,primary,0.9,active
sec-ml-004,conceptual,primary,0.8,active
sec-ml-005,math,supporting,0.7,active
sec-ml-005,algorithm,primary,0.8,active
sec-ml-006,math,primary,0.9,active
sec-ml-007,algorithm,primary,1.0,active
sec-ml-008,conceptual,primary,1.0,active
sec-ml-009,algorithm,primary,0.9,active
sec-ml-010,conceptual,primary,0.9,active
sec-ml-011,math,supporting,0.7,active
sec-ml-011,conceptual,primary,0.9,active
sec-ml-012,math,supporting,1.0,active
sec-ml-012,algorithm,supporting,1.0,active
sec-ml-012,conceptual,supporting,0.5,active
sec-ml-012,programming,supporting,0.5,active
sec-dl-001,math,primary,1.0,active
sec-dl-002,math,primary,1.0,active
sec-dl-003,math,primary,0.9,active
sec-dl-003,algorithm,primary,0.8,active
sec-dl-004,math,primary,0.8,active
sec-dl-004,conceptual,primary,0.9,active
sec-dl-005,conceptual,primary,1.0,active
sec-dl-006,conceptual,primary,1.0,active
sec-dl-007,math,primary,0.9,active
sec-dl-008,algorithm,primary,1.0,active
sec-dl-009,conceptual,primary,1.0,active
sec-dl-010,math,primary,0.8,active
sec-dl-011,conceptual,primary,0.9,active
sec-dl-012,conceptual,primary,1.0,active
sec-dl-013,algorithm,primary,1.0,active
sec-dl-005,math,supporting,0.6,active
sec-dl-008,programming,supporting,0.9,active
sec-ml-013,programming,primary,1.0,active
sec-ml-014,programming,primary,1.0,active
