question_id,option_index,option_text,knowledge_point_id,ai_suggested_misconception_code,ai_suggested_misconception_label,ai_suggested_remediation_knowledge_point_id,ai_confidence,human_decision,human_reviewer,human_reviewed_at,status
ml-q01,1,状态数量,rl-discount,misread-ml-q01-1,将“状态数量”误认为“未来奖励权重”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q01,2,动作数量,rl-discount,misread-ml-q01-2,将“动作数量”误认为“未来奖励权重”，需核实这是否反映稳定的概念误解。,rl-discount,low,,,,ai_pre_assessed_pending_human
ml-q02,0,8,math-prob,misread-ml-q02-0,将“8”误认为“10”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q02,2,12,math-prob,misread-ml-q02-2,将“12”误认为“10”，需核实这是否反映稳定的概念误解。,math-prob,low,,,,ai_pre_assessed_pending_human
ml-q03,0,状态,rl-mdp,misread-ml-q03-0,将“状态”误认为“固定的神经网络层数”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q03,1,动作,rl-mdp,misread-ml-q03-1,将“动作”误认为“固定的神经网络层数”，需核实这是否反映稳定的概念误解。,rl-mdp,low,,,,ai_pre_assessed_pending_human
ml-q04,1,随机删除数据,rl-bellman,misread-ml-q04-1,将“随机删除数据”误认为“下一状态的价值”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q04,2,更多类别标签,rl-bellman,misread-ml-q04-2,将“更多类别标签”误认为“下一状态的价值”，需核实这是否反映稳定的概念误解。,rl-bellman,low,,,,ai_pre_assessed_pending_human
ml-q05,0,1.25,rl-qlearning,misread-ml-q05-0,将“1.25”误认为“1.75”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q05,2,4.00,rl-qlearning,misread-ml-q05-2,将“4.00”误认为“1.75”，需核实这是否反映稳定的概念误解。,rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06,1,每个样本的固定标签,rl-qlearning,misread-ml-q06-1,"将“每个样本的固定标签”误认为“状态动作价值 Q(s,a)”，需核实这是否反映稳定的概念误解。",rl-qlearning,low,,,,ai_pre_assessed_pending_human
ml-q06,2,神经网络的层数,rl-qlearning,misread-ml-q06-2,"将“神经网络的层数”误认为“状态动作价值 Q(s,a)”，需核实这是否反映稳定的概念误解。",rl-qlearning,low,,,,ai_pre_assessed_pending_human
dl-q01,1,删除所有输入,dl-neuron,misread-dl-q01-1,将“删除所有输入”误认为“加权求和再加偏置”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q01,2,随机改变标签,dl-neuron,misread-dl-q01-2,将“随机改变标签”误认为“加权求和再加偏置”，需核实这是否反映稳定的概念误解。,dl-neuron,low,,,,ai_pre_assessed_pending_human
dl-q02,1,增加样本数量,dl-activation,misread-dl-q02-1,将“增加样本数量”误认为“引入非线性”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
dl-q02,2,替代损失函数,dl-activation,misread-dl-q02-2,将“替代损失函数”误认为“引入非线性”，需核实这是否反映稳定的概念误解。,dl-activation,low,,,,ai_pre_assessed_pending_human
