edge_candidate_id,from_knowledge_point_id,from_knowledge_point_name,to_knowledge_point_id,to_knowledge_point_name,relation_type,confidence,mapping_method,review_status,reviewer_id,reviewer_note
edge-candidate-0899907d85744e87f4b2,kp-ai-lesson-01,Introduction to AI,kp-ai-lesson-02,Knowledge Representation and Expert Systems,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-89d99ceefc42179ba1e7,kp-ai-lesson-02,Knowledge Representation and Expert Systems,kp-ai-lesson-03,Perceptron,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-0a7c9110c9fc4374f925,kp-ai-lesson-03,Perceptron,kp-ai-lesson-04,Neural Networks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-099f7fe9a0c876f5464d,kp-ai-lesson-04,Neural Networks,kp-ai-lesson-05,Deep Learning Frameworks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-f88cf1821b37c430b542,kp-ai-lesson-05,Deep Learning Frameworks,kp-ai-lesson-06,Introduction to Computer Vision,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-55ea6964d71bb75f763b,kp-ai-lesson-06,Introduction to Computer Vision,kp-ai-lesson-07,Convolutional Neural Networks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-271814013107d6104ee5,kp-ai-lesson-07,Convolutional Neural Networks,kp-ai-lesson-08,Pre-trained Networks and Transfer Learning,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-9b91c45bc83ff24c6d25,kp-ai-lesson-08,Pre-trained Networks and Transfer Learning,kp-ai-lesson-09,Autoencoders,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-84b91206d107887900d4,kp-ai-lesson-09,Autoencoders,kp-ai-lesson-10,Generative Adversarial Networks,prerequisite,0.75,curriculum_sequence_candidate,pending,,
edge-candidate-402a786e185cb30d40cb,kp-ai-lesson-10,Generative Adversarial Networks,kp-ai-lesson-11,Object Detection,prerequisite,0.75,curriculum_sequence_candidate,pending,,
