learning_item_id,learning_item_version_id,source_id,source_file_path,source_item_key,source_commit,source_content_hash,knowledge_point_id,knowledge_point_name_en,knowledge_point_name_zh,question_stem_en,option_a_en,option_b_en,option_c_en,correct_option_key,zh_stem,zh_option_a,zh_option_b,zh_option_c,zh_explanation,explanation_data_json,translation_method,translation_version,translation_review_status,explanation_review_status,publish_decision,reviewer_id,reviewer_note
item-18c786b106a9c26ecac4,item-version-ad1a439f683b574063c1,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-0,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,Applications of machine learning are all around us,True,False,,A,机器学习的应用无处不在,正确,错误,,本题考查“机器学习简介”，参考答案为 A：“正确”。,"{""correctOptionKey"":""A"",""correctReason"":""该陈述与课程中“机器学习简介”的说明一致，因此应选择“正确”。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""机器学习的应用无处不在"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""该陈述与课程中“机器学习简介”的说明一致，因此应选择“正确”。"",""B"":""“错误”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""Applications of machine learning are all around us"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 A：“正确”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-98949404cccf0c1a9911,item-version-80496b4af6822c413f03,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-1,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,What is the technical difference between classical ML and deep learning?,classical ML was invented first,the use of neural networks,deep learning is used in robots,B,经典机器学习和深度学习之间的技术区别是什么？,经典机器学习最先被发明,神经网络的使用,深度学习应用于机器人,本题考查“机器学习简介”，参考答案为 B：“神经网络的使用”。,"{""correctOptionKey"":""B"",""correctReason"":""在给定选项中，“神经网络的使用”最符合题干对“机器学习简介”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""经典机器学习和深度学习之间的技术区别是什么？"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""“经典机器学习最先被发明”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""B"":""在给定选项中，“神经网络的使用”最符合题干对“机器学习简介”的描述或条件。"",""C"":""“深度学习应用于机器人”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""What is the technical difference between classical ML and deep learning?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 B：“神经网络的使用”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-8b9fce098bbe0a93945c,item-version-905c886239baca2f4548,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-2,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,Why might a business want to use ML strategies?,to automate the solving of multi-dimensional problems,to customize a shopping experience based on the type of customer,both of the above,C,为什么企业想要使用机器学习策略？,自动解决多维问题,根据客户类型定制购物体验,以上两者都是,本题考查“机器学习简介”，参考答案为 C：“以上两者都是”。,"{""correctOptionKey"":""C"",""correctReason"":""在给定选项中，“以上两者都是”最符合题干对“机器学习简介”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""为什么企业想要使用机器学习策略？"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""“自动解决多维问题”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""B"":""“根据客户类型定制购物体验”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""在给定选项中，“以上两者都是”最符合题干对“机器学习简介”的描述或条件。""},""originalStem"":""Why might a business want to use ML strategies?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 C：“以上两者都是”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-6af764196d9579819796,item-version-a88057bcd7eb0845b097,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-3,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,Machine learning algorithms are meant to simulate,intelligent machines,the human brain,orangutans,B,机器学习算法旨在模拟,智能机器,人脑,猩猩,本题考查“机器学习简介”，参考答案为 B：“人脑”。,"{""correctOptionKey"":""B"",""correctReason"":""在给定选项中，“人脑”最符合题干对“机器学习简介”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""机器学习算法旨在模拟"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""“智能机器”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""B"":""在给定选项中，“人脑”最符合题干对“机器学习简介”的描述或条件。"",""C"":""“猩猩”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""Machine learning algorithms are meant to simulate"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 B：“人脑”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-1eef268c6d7c01470479,item-version-afd835fa51c4f61580f8,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-4,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,What is an example of a classical ML technique?,natural language processing,deep learning,Neural Networks,A,经典机器学习技术的示例是什么？,自然语言处理,深度学习,神经网络,本题考查“机器学习简介”，参考答案为 A：“自然语言处理”。,"{""correctOptionKey"":""A"",""correctReason"":""在给定选项中，“自然语言处理”最符合题干对“机器学习简介”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""经典机器学习技术的示例是什么？"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""在给定选项中，“自然语言处理”最符合题干对“机器学习简介”的描述或条件。"",""B"":""“深度学习”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""“神经网络”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""What is an example of a classical ML technique?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 A：“自然语言处理”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-c875c554b0ae8a2775aa,item-version-2ea8d7a8747e205bae0d,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-5,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-intro,Introduction to Machine Learning,机器学习简介,Why should everyone learn the basics of ML?,learning ML is fun and accessible to everyone,ML strategies are being used in many industries and domains,both of the above,C,为什么每个人都应该学习 ML 的基础知识？,学习 ML 很有趣并且适合每个人,机器学习策略正在许多行业和领域得到应用,以上两者都是,本题考查“机器学习简介”，参考答案为 C：“以上两者都是”。,"{""correctOptionKey"":""C"",""correctReason"":""在给定选项中，“以上两者都是”最符合题干对“机器学习简介”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""为什么每个人都应该学习 ML 的基础知识？"",""memoryTip"":""复习“机器学习简介”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""“学习 ML 很有趣并且适合每个人”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""B"":""“机器学习策略正在许多行业和领域得到应用”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""在给定选项中，“以上两者都是”最符合题干对“机器学习简介”的描述或条件。""},""originalStem"":""Why should everyone learn the basics of ML?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习简介”，参考答案为 C：“以上两者都是”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-ce33c8dd06c3b94bc42d,item-version-73f210a3d00ea32386f1,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-6,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-history,History of Machine Learning,机器学习的历史,Approximately when was the term 'artificial intelligence' coined?,1980s,1950s,1930s,B,“人工智能”这个词大约是什么时候被创造出来的？,20世纪80年代,20世纪50年代,20世纪30年代,本题考查“机器学习的历史”，参考答案为 B：“20世纪50年代”。,"{""correctOptionKey"":""B"",""correctReason"":""在给定选项中，“20世纪50年代”最符合题干对“机器学习的历史”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""“人工智能”这个词大约是什么时候被创造出来的？"",""memoryTip"":""复习“机器学习的历史”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""“20世纪80年代”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""B"":""在给定选项中，“20世纪50年代”最符合题干对“机器学习的历史”的描述或条件。"",""C"":""“20世纪30年代”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""Approximately when was the term 'artificial intelligence' coined?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习的历史”，参考答案为 B：“20世纪50年代”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-cd9cfc3245d57e504b0a,item-version-9a81e32fc887b90bef75,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-7,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-history,History of Machine Learning,机器学习的历史,Who was one of the early pioneers of machine learning?,Alan Turing,Bill Gates,Shakey the robot,A,谁是机器学习的早期先驱之一？,艾伦·图灵,比尔·盖茨,摇动机器人,本题考查“机器学习的历史”，参考答案为 A：“艾伦·图灵”。,"{""correctOptionKey"":""A"",""correctReason"":""在给定选项中，“艾伦·图灵”最符合题干对“机器学习的历史”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""谁是机器学习的早期先驱之一？"",""memoryTip"":""复习“机器学习的历史”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""在给定选项中，“艾伦·图灵”最符合题干对“机器学习的历史”的描述或条件。"",""B"":""“比尔·盖茨”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""“摇动机器人”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""Who was one of the early pioneers of machine learning?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习的历史”，参考答案为 A：“艾伦·图灵”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-6e2630b56f56fec3c1f1,item-version-84abb67211b15157c065,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-8,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-history,History of Machine Learning,机器学习的历史,What is one of the reasons that advancement in AI slowed in the 1970s?,Limited compute power,Not enough skilled engineers,Conflicts between countries,A,20 世纪 70 年代人工智能发展放缓的原因之一是什么？,计算能力有限,技术熟练的工程师不够,国家间的冲突,本题考查“机器学习的历史”，参考答案为 A：“计算能力有限”。,"{""correctOptionKey"":""A"",""correctReason"":""在给定选项中，“计算能力有限”最符合题干对“机器学习的历史”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""20 世纪 70 年代人工智能发展放缓的原因之一是什么？"",""memoryTip"":""复习“机器学习的历史”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""在给定选项中，“计算能力有限”最符合题干对“机器学习的历史”的描述或条件。"",""B"":""“技术熟练的工程师不够”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""“国家间的冲突”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""What is one of the reasons that advancement in AI slowed in the 1970s?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习的历史”，参考答案为 A：“计算能力有限”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
item-9f05a916420cb83bbac9,item-version-2dfe5792fdaf70912397,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-9,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,kp-ml-history,History of Machine Learning,机器学习的历史,What's an example of a 'scruffy' AI system?,ELIZA,HACKML,SSYSTEM,A,“蹩脚”人工智能系统的例子是什么？,ELIZA,HACKML,SSYSTEM,本题考查“机器学习的历史”，参考答案为 A：“ELIZA”。,"{""correctOptionKey"":""A"",""correctReason"":""在给定选项中，“ELIZA”最符合题干对“机器学习的历史”的描述或条件。"",""generationMethod"":""machine_translation_plus_structural_template"",""generationVersion"":""en-zh-candidate-2026-08-12"",""localizedStem"":""“蹩脚”人工智能系统的例子是什么？"",""memoryTip"":""复习“机器学习的历史”时，先定位题干关键词，再逐项核对定义和适用条件。"",""optionReasons"":{""A"":""在给定选项中，“ELIZA”最符合题干对“机器学习的历史”的描述或条件。"",""B"":""“HACKML”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。"",""C"":""“SSYSTEM”不是本题参考答案；审核时需结合原课程补充它与正确选项的具体差异。""},""originalStem"":""What's an example of a 'scruffy' AI system?"",""quality"":""structural_draft"",""requiresSubjectMatterReview"":true,""schemaVersion"":""quiz-explanation.v1"",""sourceUrls"":[""https://github.com/microsoft/ML-For-Beginners/blob/d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46/quiz-app/src/assets/translations/en.json""],""summary"":""本题考查“机器学习的历史”，参考答案为 A：“ELIZA”。""}",public_machine_translation,en-zh-candidate-2026-08-12,pending,pending,hold,,
