knowledge_point_id,knowledge_point_name,description,status
math-prob,概率与长期回报,理解奖励累积与期望回报,active
rl-discount,折扣因子,理解并计算未来奖励折扣,active
algo-dp,动态规划,理解递推与最优子结构,active
rl-bellman,贝尔曼方程,理解价值函数递推关系,active
rl-mdp,MDP,理解状态动作转移奖励框架,active
rl-qlearning,Q-Learning,理解无模型动作价值更新,active
prog-python,Python,使用 Python 基础语法与数据结构,active
prog-qtable,Q 表实现,用代码实现 Q 表更新,active
dl-neuron,人工神经元,理解加权求和与偏置,active
dl-activation,激活函数,理解非线性变换的作用,active
dl-forward,前向传播,理解输入到预测值的计算过程,active
dl-loss,损失函数,理解预测误差如何被量化,active
dl-backprop,反向传播,理解梯度如何逐层传递,active
dl-training,训练循环,理解批次、优化器与参数更新,active
ml-learning-task,机器学习任务,区分监督学习与无监督学习等任务类型,active
ml-learning-paradigm,学习范式,理解模型通过数据改进任务表现的基本范式,active
ml-regression,回归问题,理解连续目标预测的任务定义,active
ml-linear-regression,线性回归,理解线性模型及其拟合目标,active
ml-logistic-regression,逻辑回归,理解二分类概率模型,active
ml-loss-function,损失函数,理解学习目标如何被量化,active
ml-gradient-descent,梯度下降,理解沿梯度方向优化参数,active
ml-classification,分类问题,理解离散类别预测及其评价,active
ml-clustering,聚类,理解无标签数据的分组方法,active
ml-ensemble,集成学习,理解多个模型组合的基本思路,active
ml-model-selection,模型选择,理解泛化误差与模型比较,active
dl-linear-algebra,线性代数基础,理解向量矩阵与线性变换,active
dl-probability,概率基础,理解随机变量与分布的基本概念,active
dl-linear-regression,深度学习中的线性回归,用线性网络理解训练流程,active
dl-softmax,Softmax 回归,理解多分类概率输出,active
dl-mlp,多层感知机,理解隐藏层与非线性表示,active
dl-generalization,泛化与过拟合,理解训练误差与泛化误差,active
dl-initialization,数值稳定性与初始化,理解梯度和参数初始化的影响,active
dl-convolution,卷积层,理解局部连接与参数共享,active
dl-padding-stride,填充与步幅,理解卷积输出尺寸变化,active
dl-pooling,池化,理解下采样与特征汇聚,active
dl-sequence,序列模型,理解序列数据的时间依赖,active
dl-rnn,循环神经网络,理解隐藏状态与序列建模,active
