learning_item_id,source_id,source_item_key,question_stem,correct_option_key,blocker_codes,warning_codes,quality_status,reviewer_id,reviewer_note
item-18c786b106a9c26ecac4,microsoft-ml-for-beginners,json-0,Applications of machine learning are all around us,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-98949404cccf0c1a9911,microsoft-ml-for-beginners,json-1,What is the technical difference between classical ML and deep learning?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-8b9fce098bbe0a93945c,microsoft-ml-for-beginners,json-2,Why might a business want to use ML strategies?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6af764196d9579819796,microsoft-ml-for-beginners,json-3,Machine learning algorithms are meant to simulate,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-1eef268c6d7c01470479,microsoft-ml-for-beginners,json-4,What is an example of a classical ML technique?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-c875c554b0ae8a2775aa,microsoft-ml-for-beginners,json-5,Why should everyone learn the basics of ML?,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-ce33c8dd06c3b94bc42d,microsoft-ml-for-beginners,json-6,Approximately when was the term 'artificial intelligence' coined?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-cd9cfc3245d57e504b0a,microsoft-ml-for-beginners,json-7,Who was one of the early pioneers of machine learning?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-6e2630b56f56fec3c1f1,microsoft-ml-for-beginners,json-8,What is one of the reasons that advancement in AI slowed in the 1970s?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9f05a916420cb83bbac9,microsoft-ml-for-beginners,json-9,What's an example of a 'scruffy' AI system?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-9c65f1ccb6ba7b6b9a15,microsoft-ml-for-beginners,json-10,What is an example of a technology that was developed during 'The Golden Years'?,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f732dba826755361c6d1,microsoft-ml-for-beginners,json-11,Which event was foundational in the creation and expansion of the field of artificial intelligence?,B,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-f932097e5231d3bb4d60,microsoft-ml-for-beginners,json-12,Unfairness in Machine Learning can happen,C,,COMPOUND_OPTION_REVIEW|STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-75e44310069424f503a9,microsoft-ml-for-beginners,json-13,The term 'unfairness' in ML connotes:,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-af524f08f7cfacf66ed5,microsoft-ml-for-beginners,json-14,The five main types of harms include,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-dc8d5d0ae2d5464dea32,microsoft-ml-for-beginners,json-15,Unfairness in a model can be caused by,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-085b4f28392947c567df,microsoft-ml-for-beginners,json-16,"To mitigate unfairness, you can",C,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
item-5f96c95137f04aa36c7f,microsoft-ml-for-beginners,json-17,Fairlearn is a package that can,A,,STRUCTURAL_EXPLANATION_NEEDS_SME_REVIEW,needs_review,,
