content_unit_id,source_id,book_id,knowledge_point_id,relation_type,status
ml-unit-001,src-ocademy-ml,ml-001,ml-learning-task,primary,active
ml-unit-002,src-ocademy-ml,ml-001,ml-learning-paradigm,primary,active
ml-unit-003,src-ocademy-ml,ml-001,ml-regression,primary,active
ml-unit-004,src-ocademy-ml,ml-001,ml-linear-regression,primary,active
ml-unit-005,src-ocademy-ml,ml-001,ml-logistic-regression,primary,active
ml-unit-006,src-ocademy-ml,ml-001,ml-loss-function,primary,active
ml-unit-007,src-ocademy-ml,ml-001,ml-gradient-descent,primary,active
ml-unit-008,src-ocademy-ml,ml-001,ml-classification,primary,active
ml-unit-009,src-ocademy-ml,ml-001,ml-clustering,primary,active
ml-unit-010,src-ocademy-ml,ml-001,ml-ensemble,primary,active
ml-unit-011,src-ocademy-ml,ml-001,ml-model-selection,primary,active
ml-unit-012,src-ocademy-ml,ml-001,math-prob,supporting,active
ml-unit-012,src-ocademy-ml,ml-001,rl-discount,supporting,active
ml-unit-012,src-ocademy-ml,ml-001,algo-dp,supporting,active
ml-unit-012,src-ocademy-ml,ml-001,rl-bellman,supporting,active
ml-unit-012,src-ocademy-ml,ml-001,rl-mdp,supporting,active
ml-unit-012,src-ocademy-ml,ml-001,rl-qlearning,primary,active
dl-unit-001,src-d2l-zh,dl-001,dl-linear-algebra,primary,active
dl-unit-002,src-d2l-zh,dl-001,dl-probability,primary,active
dl-unit-003,src-d2l-zh,dl-001,dl-linear-regression,primary,active
dl-unit-004,src-d2l-zh,dl-001,dl-softmax,primary,active
dl-unit-005,src-d2l-zh,dl-001,dl-mlp,primary,active
dl-unit-006,src-d2l-zh,dl-001,dl-generalization,primary,active
dl-unit-007,src-d2l-zh,dl-001,dl-initialization,primary,active
dl-unit-008,src-d2l-zh,dl-001,dl-backprop,primary,active
dl-unit-009,src-d2l-zh,dl-001,dl-convolution,primary,active
dl-unit-010,src-d2l-zh,dl-001,dl-padding-stride,primary,active
dl-unit-011,src-d2l-zh,dl-001,dl-pooling,primary,active
dl-unit-012,src-d2l-zh,dl-001,dl-sequence,primary,active
dl-unit-013,src-d2l-zh,dl-001,dl-rnn,primary,active
dl-unit-003,src-d2l-zh,dl-001,dl-forward,supporting,active
dl-unit-003,src-d2l-zh,dl-001,dl-loss,supporting,active
dl-unit-005,src-d2l-zh,dl-001,dl-neuron,supporting,active
dl-unit-005,src-d2l-zh,dl-001,dl-activation,supporting,active
dl-unit-008,src-d2l-zh,dl-001,dl-training,supporting,active
ml-unit-013,src-ocademy-ml,ml-001,prog-python,primary,active
ml-unit-014,src-ocademy-ml,ml-001,prog-qtable,primary,active
