learning_item_id,learning_item_version_id,source_id,source_file_path,source_item_key,source_commit,source_content_hash,question_stem,answer_text,correct_option_key,knowledge_point_id,knowledge_point_name,mapping_candidate_id,mapping_confidence,mapping_method,mapping_review_status,answer_review_status,source_review_status,publish_decision,reviewer_id,reviewer_note
item-18c786b106a9c26ecac4,item-version-ad1a439f683b574063c1,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-0,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Applications of machine learning are all around us,True,A,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-fb4b767ccdd0b7b1a5c8,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-98949404cccf0c1a9911,item-version-80496b4af6822c413f03,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-1,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What is the technical difference between classical ML and deep learning?,the use of neural networks,B,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-69afa3ed74d53b47f78b,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-8b9fce098bbe0a93945c,item-version-905c886239baca2f4548,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-2,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Why might a business want to use ML strategies?,both of the above,C,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-398f5de328efd8f27b84,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-6af764196d9579819796,item-version-a88057bcd7eb0845b097,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-3,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Machine learning algorithms are meant to simulate,the human brain,B,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-e70ff62fc03d08c1dc23,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-1eef268c6d7c01470479,item-version-afd835fa51c4f61580f8,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-4,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What is an example of a classical ML technique?,natural language processing,A,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-2bfe8dcab9d910e21501,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-c875c554b0ae8a2775aa,item-version-2ea8d7a8747e205bae0d,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-5,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Why should everyone learn the basics of ML?,both of the above,C,kp-ml-intro,Introduction to Machine Learning,mapping-candidate-04375183f38a71e76a1c,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-ce33c8dd06c3b94bc42d,item-version-73f210a3d00ea32386f1,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-6,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Approximately when was the term 'artificial intelligence' coined?,1950s,B,kp-ml-history,History of Machine Learning,mapping-candidate-f2ade003794a6e81becc,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-cd9cfc3245d57e504b0a,item-version-9a81e32fc887b90bef75,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-7,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Who was one of the early pioneers of machine learning?,Alan Turing,A,kp-ml-history,History of Machine Learning,mapping-candidate-5e09441baa9ef043dd2a,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-6e2630b56f56fec3c1f1,item-version-84abb67211b15157c065,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-8,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What is one of the reasons that advancement in AI slowed in the 1970s?,Limited compute power,A,kp-ml-history,History of Machine Learning,mapping-candidate-4e7a69a0f4ba01d017bb,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-9f05a916420cb83bbac9,item-version-2dfe5792fdaf70912397,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-9,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What's an example of a 'scruffy' AI system?,ELIZA,A,kp-ml-history,History of Machine Learning,mapping-candidate-1c6d2ef606b411646dfb,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-9c65f1ccb6ba7b6b9a15,item-version-0296b4dc5f1a1462c6aa,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-10,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,What is an example of a technology that was developed during 'The Golden Years'?,Blocks world,A,kp-ml-history,History of Machine Learning,mapping-candidate-89ddb64b3861bff14961,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-f732dba826755361c6d1,item-version-70fb6a4d33c79e8ccac2,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-11,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Which event was foundational in the creation and expansion of the field of artificial intelligence?,Dartmouth Summer Research Project,B,kp-ml-history,History of Machine Learning,mapping-candidate-7334ed67988919342cb4,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-f932097e5231d3bb4d60,item-version-4e9449ec02ec20a0ade7,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-12,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Unfairness in Machine Learning can happen,both of the above,C,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-fd6a6fa4de71ffec0f4f,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-75e44310069424f503a9,item-version-40424ff87b5e02710c69,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-13,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,The term 'unfairness' in ML connotes:,harms for a group of people,A,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-665ab8f1dffae2d23662,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-af524f08f7cfacf66ed5,item-version-4b77c8a2e0a2c09e1a82,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-14,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,The five main types of harms include,"allocation, quality of service, stereotyping, denigration, and over- or under- representation",A,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-93ddd45dccdf20ddc8ac,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-dc8d5d0ae2d5464dea32,item-version-30a167af869ec0db3e29,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-15,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,Unfairness in a model can be caused by,over reliance on historical data,A,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-089f4bba0293deac5343,0.99,upstream_quiz_group,pending,pending,pending,hold,,
item-085b4f28392947c567df,item-version-fe05f77ce48bb1d5eee9,microsoft-ml-for-beginners,quiz-app/src/assets/translations/en.json,json-16,d0d0ea2b2d22cddca31f9c6d108df7daa87a1b46,b278cb874c3e66ef48b20f766c69648f1f9331b9d414730f6461f2d6a3a5a27c,"To mitigate unfairness, you can",both the above,C,kp-ml-fairness,Fairness and Machine Learning,mapping-candidate-1f9b72f21cb6800daf0f,0.99,upstream_quiz_group,pending,pending,pending,hold,,
