mapping_candidate_id,learning_item_id,learning_item_version_id,item_type,title,source_id,source_file_path,knowledge_point_id,knowledge_point_name,relation_type,confidence,mapping_method,rationale,review_status,reviewer_id,reviewer_note
mapping-candidate-e7f4a6aa442ab1cbb8b1,item-8f22a7b76ec97f430965,item-version-30668e1f457afa59ffd4,concept_check,What is machine learning?,microsoft-ml-for-beginners,1-Introduction/1-intro-to-ML/README.md,kp-ml-intro,Introduction to Machine Learning,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/1-intro-to-ML/ 对应正式课程知识点,pending,,
mapping-candidate-09edf7b03d0bc0c1e5e7,item-2d05bb4908c5a5313e19,item-version-a8617523b4f0e041f989,coding_task,Why study machine learning?,microsoft-ml-for-beginners,1-Introduction/1-intro-to-ML/README.md,kp-ml-intro,Introduction to Machine Learning,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/1-intro-to-ML/ 对应正式课程知识点,pending,,
mapping-candidate-91b2b49668f3f4f1265c,item-1e1bbc2310655c88fdef,item-version-b43b62517636f35eebb8,project_task,Get Up and Running,microsoft-ml-for-beginners,1-Introduction/1-intro-to-ML/assignment.md,kp-ml-intro,Introduction to Machine Learning,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/1-intro-to-ML/ 对应正式课程知识点,pending,,
mapping-candidate-5d4b4ceebc38a33e66fb,item-17f6c8c15523dfc6985d,item-version-579a8dc8d58350f78b63,project_task,Create a timeline,microsoft-ml-for-beginners,1-Introduction/2-history-of-ML/assignment.md,kp-ml-history,History of Machine Learning,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/2-history-of-ML/ 对应正式课程知识点,pending,,
mapping-candidate-f4247e1fcc455bc95703,item-50d7613a657304e91fcd,item-version-319a1b57a17c0aa4ae73,project_task,Explore the Responsible AI Toolbox,microsoft-ml-for-beginners,1-Introduction/3-fairness/assignment.md,kp-ml-fairness,Fairness and Machine Learning,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/3-fairness/ 对应正式课程知识点,pending,,
mapping-candidate-42b1bd316a594f087cd7,item-764ae0b54285122f906e,item-version-42f37e64af8a3a17ca1b,project_task,Interview a data scientist,microsoft-ml-for-beginners,1-Introduction/4-techniques-of-ML/assignment.md,kp-ml-tools,Tools and Techniques,target,0.95,curriculum_source_path_candidate,课程目录 1-Introduction/4-techniques-of-ML/ 对应正式课程知识点,pending,,
mapping-candidate-18f10361788f8a6fe79d,item-9df4eda8aebd37270111,item-version-315f9c5252d08d5682b3,project_task,Regression with Scikit-learn,microsoft-ml-for-beginners,2-Regression/1-Tools/assignment.md,kp-ml-regression-intro,Introduction to Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/1-Tools/ 对应正式课程知识点,pending,,
mapping-candidate-12a9eb405720949e188e,item-3ef5754f14843773e7dc,item-version-1a05a62ac8bc68a2db8b,concept_check,Matplotlib or Seaborn?,microsoft-ml-for-beginners,2-Regression/2-Data/README.md,kp-ml-regression-data,Prepare and Visualize Data for Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/2-Data/ 对应正式课程知识点,pending,,
mapping-candidate-25443ae2573874cd0a48,item-f60e577b9992ade8d1bf,item-version-76d437c9fe99a02e026c,project_task,Exploring Visualizations,microsoft-ml-for-beginners,2-Regression/2-Data/assignment.md,kp-ml-regression-data,Prepare and Visualize Data for Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/2-Data/ 对应正式课程知识点,pending,,
mapping-candidate-d7a55698f04f28a6d509,item-87059503f6a8bc5931a2,item-version-aeee609617fde9773011,project_task,Create a Regression Model,microsoft-ml-for-beginners,2-Regression/3-Linear/assignment.md,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/3-Linear/ 对应正式课程知识点,pending,,
mapping-candidate-9b1f9635015970fb204f,item-56db8cd4f70761cbb2be,item-version-ddfbc2622368ba2fc8ab,notebook_lab,Pumpkin Pricing,microsoft-ml-for-beginners,2-Regression/3-Linear/notebook.ipynb,kp-ml-linear-polynomial-regression,Linear and Polynomial Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/3-Linear/ 对应正式课程知识点,pending,,
mapping-candidate-6cd971f53b8e0acff17b,item-3f5fce0cc3acfd48676e,item-version-72c2e8ca1a45e10f2635,project_task,Retrying some Regression,microsoft-ml-for-beginners,2-Regression/4-Logistic/assignment.md,kp-ml-logistic-regression,Logistic Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/4-Logistic/ 对应正式课程知识点,pending,,
mapping-candidate-2b0e82b0513306b46ea7,item-252cf34bab0fd5099dac,item-version-2f5506f8c795f58f83af,notebook_lab,Pumpkin Varieties and Color,microsoft-ml-for-beginners,2-Regression/4-Logistic/notebook.ipynb,kp-ml-logistic-regression,Logistic Regression,target,0.95,curriculum_source_path_candidate,课程目录 2-Regression/4-Logistic/ 对应正式课程知识点,pending,,
mapping-candidate-1311b730c01ff18d03d4,item-c66092a753f948ef7626,item-version-c8d17e4bfe2386da9f9f,project_task,Try a different model,microsoft-ml-for-beginners,3-Web-App/1-Web-App/assignment.md,kp-ml-web-app,Build a Web App,target,0.95,curriculum_source_path_candidate,课程目录 3-Web-App/ 对应正式课程知识点,pending,,
mapping-candidate-ea2609cc009d4b01f40b,item-a45827f623c72753d8eb,item-version-15cb7d18ff5d504306cc,project_task,Explore classification methods,microsoft-ml-for-beginners,4-Classification/1-Introduction/assignment.md,kp-ml-classification-intro,Classification 1,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/1-Introduction/ 对应正式课程知识点,pending,,
mapping-candidate-8079d22c4436e573ab29,item-68bdcaf273e0b65f8981,item-version-12f09e9ab6e2e325da8f,notebook_lab,Delicious Asian and Indian Cuisines,microsoft-ml-for-beginners,4-Classification/1-Introduction/notebook.ipynb,kp-ml-classification-intro,Classification 1,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/1-Introduction/ 对应正式课程知识点,pending,,
mapping-candidate-3b513028bc2acfd266fa,item-1da867b852b88e73ddd4,item-version-8d9f0f5fa14918be6453,concept_check,What classifier to go with?,microsoft-ml-for-beginners,4-Classification/2-Classifiers-1/README.md,kp-ml-classifiers-1,Classification 2,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/2-Classifiers-1/ 对应正式课程知识点,pending,,
mapping-candidate-ccae8cbee91c129a7d61,item-2cd0df0d1e02adb71f58,item-version-6b1c18367b71a972f90e,project_task,Study the solvers,microsoft-ml-for-beginners,4-Classification/2-Classifiers-1/assignment.md,kp-ml-classifiers-1,Classification 2,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/2-Classifiers-1/ 对应正式课程知识点,pending,,
mapping-candidate-96fa7ee776df6183e33b,item-6b3f51aa59d78a285e30,item-version-8199519678abc63e26c6,notebook_lab,Build Classification Models,microsoft-ml-for-beginners,4-Classification/2-Classifiers-1/notebook.ipynb,kp-ml-classifiers-1,Classification 2,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/2-Classifiers-1/ 对应正式课程知识点,pending,,
mapping-candidate-b4103726018668295d15,item-1f4ebcf4175c20671212,item-version-effe2144fb83627003e1,project_task,Parameter Play,microsoft-ml-for-beginners,4-Classification/3-Classifiers-2/assignment.md,kp-ml-classifiers-2,Classification 3,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/3-Classifiers-2/ 对应正式课程知识点,pending,,
mapping-candidate-57cf3c898a59c5aff415,item-e7af59a6f7cdce2071fa,item-version-9278d72056b005108371,notebook_lab,Build Classification Model,microsoft-ml-for-beginners,4-Classification/3-Classifiers-2/notebook.ipynb,kp-ml-classifiers-2,Classification 3,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/3-Classifiers-2/ 对应正式课程知识点,pending,,
mapping-candidate-5df8496b5adb8458b2b0,item-265d3df0b2d11efb0609,item-version-831cf8e94836f53a83c4,project_task,Build a recommender,microsoft-ml-for-beginners,4-Classification/4-Applied/assignment.md,kp-ml-classification-applied,Classification 4,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/4-Applied/ 对应正式课程知识点,pending,,
mapping-candidate-a4ed3816df888998862d,item-431154f2a5c0b5d9580e,item-version-59f1ad7d83d91704d717,notebook_lab,Build a cuisine recommender,microsoft-ml-for-beginners,4-Classification/4-Applied/notebook.ipynb,kp-ml-classification-applied,Classification 4,target,0.95,curriculum_source_path_candidate,课程目录 4-Classification/4-Applied/ 对应正式课程知识点,pending,,
mapping-candidate-68f6c315a6cf216c2f47,item-92456042cb4459750658,item-version-e4a8a0aa009674f911e1,project_task,Research other visualizations for clustering,microsoft-ml-for-beginners,5-Clustering/1-Visualize/assignment.md,kp-ml-clustering-intro,Introduction to Clustering,target,0.95,curriculum_source_path_candidate,课程目录 5-Clustering/1-Visualize/ 对应正式课程知识点,pending,,
