knowledge_point_id,prerequisite_knowledge_point_id,relation_type,weight,status
rl-discount,math-prob,required,1.0,active
rl-bellman,algo-dp,required,1.0,active
rl-bellman,rl-discount,recommended,0.7,active
rl-qlearning,rl-bellman,required,1.0,active
rl-qlearning,rl-mdp,required,1.0,active
prog-qtable,prog-python,required,1.0,active
prog-qtable,rl-qlearning,recommended,0.8,active
dl-activation,dl-neuron,required,1.0,active
dl-forward,dl-activation,required,1.0,active
dl-loss,dl-forward,required,1.0,active
dl-backprop,dl-loss,required,1.0,active
dl-training,dl-backprop,required,1.0,active
ml-learning-paradigm,ml-learning-task,required,1.0,active
ml-regression,ml-learning-task,required,1.0,active
ml-linear-regression,ml-regression,required,1.0,active
ml-logistic-regression,ml-regression,required,1.0,active
ml-loss-function,ml-regression,recommended,0.7,active
ml-gradient-descent,ml-loss-function,required,1.0,active
ml-classification,ml-learning-task,required,1.0,active
ml-clustering,ml-learning-task,required,1.0,active
ml-ensemble,ml-classification,recommended,0.6,active
ml-model-selection,ml-regression,recommended,0.7,active
dl-probability,dl-linear-algebra,recommended,0.5,active
dl-linear-regression,dl-linear-algebra,required,1.0,active
dl-softmax,dl-linear-regression,required,1.0,active
dl-mlp,dl-linear-regression,required,1.0,active
dl-generalization,dl-mlp,recommended,0.7,active
dl-initialization,dl-mlp,required,1.0,active
dl-convolution,dl-mlp,required,1.0,active
dl-padding-stride,dl-convolution,required,1.0,active
dl-pooling,dl-convolution,required,1.0,active
dl-sequence,dl-linear-algebra,recommended,0.5,active
dl-rnn,dl-sequence,required,1.0,active
