mastery_task_id,knowledge_point_id,status
mt-rl-discount,rl-discount,active
mt-math-prob,math-prob,active
mt-algo-dp,algo-dp,active
mt-rl-bellman,rl-bellman,active
mt-rl-mdp,rl-mdp,active
mt-rl-qlearning,rl-qlearning,active
mt-ml-task,ml-learning-task,active
mt-ml-paradigm,ml-learning-paradigm,active
mt-ml-regression,ml-regression,active
mt-ml-linear-regression,ml-linear-regression,active
mt-ml-logistic,ml-logistic-regression,active
mt-ml-loss,ml-loss-function,active
mt-ml-gradient,ml-gradient-descent,active
mt-ml-classification,ml-classification,active
mt-ml-clustering,ml-clustering,active
mt-ml-ensemble,ml-ensemble,active
mt-ml-model-selection,ml-model-selection,active
mt-dl-linear-algebra,dl-linear-algebra,active
mt-dl-probability,dl-probability,active
mt-dl-linear-regression,dl-linear-regression,active
mt-dl-softmax,dl-softmax,active
mt-dl-mlp,dl-mlp,active
mt-dl-generalization,dl-generalization,active
mt-dl-initialization,dl-initialization,active
mt-dl-convolution,dl-convolution,active
mt-dl-padding,dl-padding-stride,active
mt-dl-pooling,dl-pooling,active
mt-dl-sequence,dl-sequence,active
mt-dl-rnn,dl-rnn,active
mt-dl-neuron,dl-neuron,active
mt-dl-activation,dl-activation,active
mt-dl-forward,dl-forward,active
mt-dl-loss,dl-loss,active
mt-dl-backprop,dl-backprop,active
mt-dl-training,dl-training,active
mt-prog-python,prog-python,active
mt-prog-qtable,prog-qtable,active
