question_id,content_unit_id,source_locator,status
ml-q01,ml-unit-012,折扣因子与长期回报概念,active
ml-q02,ml-unit-012,长期回报计算示例,active
ml-q03,ml-unit-012,强化学习的状态动作奖励框架,active
ml-q04,ml-unit-012,价值函数递推与动态规划,active
ml-q05,ml-unit-012,Q-Learning 更新目标,active
ml-q06,ml-unit-012,深度 Q 学习导言,active
dl-q01,dl-unit-005,多层感知机中的神经元与激活,active
dl-q02,dl-unit-005,多层感知机中的非线性,active
dl-q03,dl-unit-003,线性网络的前向计算与损失,active
dl-q04,dl-unit-008,反向传播,active
dl-q05,dl-unit-008,训练循环与参数更新,active
dl-q06,dl-unit-003,训练流程中的损失计算,active
ml-q07,ml-unit-001,机器学习任务类型,active
ml-q08,ml-unit-002,机器学习技术与训练范式,active
ml-q09,ml-unit-003,回归任务定义,active
ml-q10,ml-unit-004,线性回归模型,active
ml-q11,ml-unit-005,逻辑回归,active
ml-q12,ml-unit-006,损失函数,active
ml-q13,ml-unit-007,梯度下降,active
ml-q14,ml-unit-008,分类入门,active
ml-q15,ml-unit-009,聚类模型,active
ml-q16,ml-unit-010,集成学习入门,active
ml-q17,ml-unit-011,模型选择,active
dl-q07,dl-unit-001,线性代数,active
dl-q08,dl-unit-002,概率,active
dl-q09,dl-unit-003,线性回归,active
dl-q10,dl-unit-004,Softmax回归,active
dl-q11,dl-unit-005,多层感知机,active
dl-q12,dl-unit-006,模型选择与过拟合,active
dl-q13,dl-unit-007,数值稳定性与初始化,active
dl-q14,dl-unit-009,卷积层,active
dl-q15,dl-unit-010,填充和步幅,active
dl-q16,dl-unit-011,池化,active
dl-q17,dl-unit-012,序列模型,active
dl-q18,dl-unit-013,循环神经网络,active
ml-q01-v2,ml-unit-012,折扣因子与长期回报概念,active
ml-q01-v3,ml-unit-012,折扣因子与长期回报概念,active
ml-q01-v4,ml-unit-012,折扣因子与长期回报概念,active
ml-q02-v2,ml-unit-012,长期回报计算示例,active
ml-q02-v3,ml-unit-012,长期回报计算示例,active
ml-q02-v4,ml-unit-012,长期回报计算示例,active
ml-q03-v2,ml-unit-012,强化学习的状态动作奖励框架,active
ml-q03-v3,ml-unit-012,强化学习的状态动作奖励框架,active
ml-q03-v4,ml-unit-012,强化学习的状态动作奖励框架,active
ml-q04-v2,ml-unit-012,价值函数递推与动态规划,active
ml-q04-v3,ml-unit-012,价值函数递推与动态规划,active
ml-q04-v4,ml-unit-012,价值函数递推与动态规划,active
ml-q05-v2,ml-unit-012,Q-Learning 更新目标,active
ml-q05-v3,ml-unit-012,Q-Learning 更新目标,active
ml-q05-v4,ml-unit-012,Q-Learning 更新目标,active
ml-q06-v2,ml-unit-012,深度 Q 学习导言,active
ml-q06-v3,ml-unit-012,深度 Q 学习导言,active
ml-q06-v4,ml-unit-012,深度 Q 学习导言,active
dl-q01-v2,dl-unit-005,多层感知机中的神经元与激活,active
dl-q01-v3,dl-unit-005,多层感知机中的神经元与激活,active
dl-q01-v4,dl-unit-005,多层感知机中的神经元与激活,active
dl-q02-v2,dl-unit-005,多层感知机中的非线性,active
dl-q02-v3,dl-unit-005,多层感知机中的非线性,active
dl-q02-v4,dl-unit-005,多层感知机中的非线性,active
dl-q03-v2,dl-unit-003,线性网络的前向计算与损失,active
dl-q03-v3,dl-unit-003,线性网络的前向计算与损失,active
dl-q03-v4,dl-unit-003,线性网络的前向计算与损失,active
dl-q04-v2,dl-unit-008,反向传播,active
dl-q04-v3,dl-unit-008,反向传播,active
dl-q04-v4,dl-unit-008,反向传播,active
dl-q05-v2,dl-unit-008,训练循环与参数更新,active
dl-q05-v3,dl-unit-008,训练循环与参数更新,active
dl-q05-v4,dl-unit-008,训练循环与参数更新,active
dl-q06-v2,dl-unit-003,训练流程中的损失计算,active
dl-q06-v3,dl-unit-003,训练流程中的损失计算,active
dl-q06-v4,dl-unit-003,训练流程中的损失计算,active
ml-q07-v2,ml-unit-001,机器学习任务类型,active
ml-q07-v3,ml-unit-001,机器学习任务类型,active
ml-q07-v4,ml-unit-001,机器学习任务类型,active
ml-q08-v2,ml-unit-002,机器学习技术与训练范式,active
ml-q08-v3,ml-unit-002,机器学习技术与训练范式,active
ml-q08-v4,ml-unit-002,机器学习技术与训练范式,active
ml-q09-v2,ml-unit-003,回归任务定义,active
ml-q09-v3,ml-unit-003,回归任务定义,active
ml-q09-v4,ml-unit-003,回归任务定义,active
ml-q10-v2,ml-unit-004,线性回归模型,active
ml-q10-v3,ml-unit-004,线性回归模型,active
ml-q10-v4,ml-unit-004,线性回归模型,active
ml-q11-v2,ml-unit-005,逻辑回归,active
ml-q11-v3,ml-unit-005,逻辑回归,active
ml-q11-v4,ml-unit-005,逻辑回归,active
ml-q12-v2,ml-unit-006,损失函数,active
ml-q12-v3,ml-unit-006,损失函数,active
ml-q12-v4,ml-unit-006,损失函数,active
ml-q13-v2,ml-unit-007,梯度下降,active
ml-q13-v3,ml-unit-007,梯度下降,active
ml-q13-v4,ml-unit-007,梯度下降,active
ml-q14-v2,ml-unit-008,分类入门,active
ml-q14-v3,ml-unit-008,分类入门,active
ml-q14-v4,ml-unit-008,分类入门,active
ml-q15-v2,ml-unit-009,聚类模型,active
ml-q15-v3,ml-unit-009,聚类模型,active
ml-q15-v4,ml-unit-009,聚类模型,active
ml-q16-v2,ml-unit-010,集成学习入门,active
ml-q16-v3,ml-unit-010,集成学习入门,active
ml-q16-v4,ml-unit-010,集成学习入门,active
ml-q17-v2,ml-unit-011,模型选择,active
ml-q17-v3,ml-unit-011,模型选择,active
ml-q17-v4,ml-unit-011,模型选择,active
dl-q07-v2,dl-unit-001,线性代数,active
dl-q07-v3,dl-unit-001,线性代数,active
dl-q07-v4,dl-unit-001,线性代数,active
dl-q08-v2,dl-unit-002,概率,active
dl-q08-v3,dl-unit-002,概率,active
