question_id,ai_semantic_assessment,ai_answer_check,ai_distractor_check,ai_difficulty_assessment,ai_source_check,ai_recommendation,ai_reason,ai_confidence,human_decision,human_reviewer,human_reviewed_at,status
ml-q01,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,折扣因子的基础定义表述可用,low,,,,ai_pre_assessed_pending_human
ml-q02,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,熟悉-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，并在扩题时补多步回报与终止状态,一步回报计算、答案和讲解一致；但只检验单步代入。,medium,,,,ai_pre_assessed_pending_human
ml-q03,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,可区分 MDP 与网络结构,low,,,,ai_pre_assessed_pending_human
ml-q04,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,熟悉-偏低,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为基本了解/练习题，不作为熟悉主证据,题目只要求说出贝尔曼递推的未来价值部分，未检验折扣、动作选择或数值计算。,medium,,,,ai_pre_assessed_pending_human
ml-q05,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,掌握-偏低,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为练习题，不单独作为掌握证据,数值更新结果正确，代码片段清晰；但仍是单步代入，不能证明能实现或调试Q Learning。,medium,,,,ai_pre_assessed_pending_human
ml-q06,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,Q 值学习对象的基础概念可用,low,,,,ai_pre_assessed_pending_human
dl-q01,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,神经元基本计算链条可用,low,,,,ai_pre_assessed_pending_human
dl-q02,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,基本了解-合适,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留，等待人工确认。,激活函数作用可用,low,,,,ai_pre_assessed_pending_human
dl-q03,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,熟悉-偏低,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为基本了解/练习题，不作为熟悉主证据,前向输出用于计算损失的结论正确，但没有张量、样本或形状计算。,medium,,,,ai_pre_assessed_pending_human
dl-q04,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,熟悉-偏低,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为基本了解/练习题，不作为熟悉主证据,反向传播求梯度的结论正确，但未检验链式法则、方向或具体梯度。,medium,,,,ai_pre_assessed_pending_human
dl-q05,题干、正确答案与讲解在当前题面上未发现明显矛盾；需人工对照原教材核实术语和边界。,依据题干给定条件重新核对，答案与讲解一致；仍需内容负责人对教材出处确认。,错误选项与正确概念可区分，建议人工检查是否存在过于明显、歧义或诱导性不足的干扰项。,掌握-偏低,已登记教材出处；需人工核对是否对应到准确小节和原文表述。,建议保留为练习题，不单独作为掌握证据,optimizer.step 的答案正确，代码顺序清晰；但仅识别单行，未检验完整训练循环或调试能力。,medium,,,,ai_pre_assessed_pending_human
