question_id,book_id,topic_id,target_level,question_type,difficulty,question_summary,prompt,options_json,correct_option,answer_key,explanation,scoring_rule,source_note,version,status
ml-q01,ml-001,rl-001,基本了解,概念题,1,折扣因子作用,折扣因子 γ 主要表示什么？,"[""未来奖励相对当前奖励的权重"",""状态数量"",""动作数量""]",0,未来奖励权重,γ 用于降低远期奖励在当前价值中的权重。,单选正确得 1 分,机器学习·强化学习基础·折扣因子,1,approved
ml-q02,ml-001,rl-001,熟悉,应用题,2,长期回报计算,若当前奖励为 2 且下一步回报为 10，γ=0.8，则一步回报为多少？,"[""8"",""10"",""12""]",1,10,2 + 0.8×10 = 10。,单选正确得 1 分,机器学习·强化学习基础·长期回报,1,approved
ml-q03,ml-001,rl-001,基本了解,概念题,1,MDP组成,MDP 的核心组成不包括哪一项？,"[""状态"",""动作"",""固定的神经网络层数""]",2,固定的神经网络层数,MDP 由状态、动作、转移和奖励描述，不要求神经网络。,单选正确得 1 分,机器学习·强化学习基础·MDP,1,approved
ml-q04,ml-001,rl-001,熟悉,应用题,2,动态规划,贝尔曼方程将一个问题拆分为当前回报与什么？,"[""下一状态的价值"",""随机删除数据"",""更多类别标签""]",0,下一状态的价值,贝尔曼方程体现了当前回报加未来价值的递推关系。,单选正确得 1 分,机器学习·强化学习基础·贝尔曼方程,1,approved
ml-q05,ml-001,rl-001,掌握,代码题,3,Q学习更新,阅读 Q 表更新代码：`q=1.5; r=2; gamma=0.5; max_next=4; alpha=0.1; q = q + alpha*(r + gamma*max_next - q)`。更新后的 q 是多少？,"[""1.25"",""1.75"",""4.00""]",1,1.75,目标为 2+0.5×4=4，q 更新为 1.5+0.1×(4-1.5)=1.75。,单选正确得 1 分,机器学习·强化学习实践·Q-Learning,1,approved
ml-q06,ml-001,rl-001,基本了解,概念题,1,Q学习目标,Q-Learning 主要学习哪一种量？,"[""状态动作价值 Q(s,a)"",""每个样本的固定标签"",""神经网络的层数""]",0,"状态动作价值 Q(s,a)",Q-Learning 估计在状态下执行动作后的长期价值。,单选正确得 1 分,Open Machine Learning Book·深度 Q 学习,1,approved
dl-q01,dl-001,dl-base-001,基本了解,概念题,1,人工神经元,人工神经元通常先对输入做什么？,"[""加权求和再加偏置"",""删除所有输入"",""随机改变标签""]",0,加权求和再加偏置,神经元先计算加权求和与偏置，再经过激活函数。,单选正确得 1 分,深度学习·神经网络基础·人工神经元,1,approved
dl-q02,dl-001,dl-base-001,基本了解,概念题,1,激活函数,激活函数的主要作用是什么？,"[""引入非线性"",""增加样本数量"",""替代损失函数""]",0,引入非线性,非线性使多层网络能够表示更复杂的函数。,单选正确得 1 分,深度学习·神经网络基础·激活函数,1,approved
dl-q03,dl-001,dl-base-001,熟悉,应用题,2,前向传播,前向传播的输出通常用于什么？,"[""计算损失"",""直接删除参数"",""跳过训练""]",0,计算损失,模型预测与真实标签比较后得到损失。,单选正确得 1 分,深度学习·神经网络基础·前向传播,1,approved
dl-q04,dl-001,dl-base-001,熟悉,应用题,2,反向传播,反向传播的核心目标是什么？,"[""计算参数的梯度"",""增加隐藏层数量"",""固定预测结果""]",0,计算参数梯度,梯度用于指导优化器更新参数。,单选正确得 1 分,深度学习·神经网络基础·反向传播,1,approved
dl-q05,dl-001,dl-base-001,掌握,代码题,3,训练循环,"训练代码为：`y_hat=net(X); loss=loss_fn(y_hat,y); optimizer.zero_grad(); loss.backward(); optimizer.step()`。其中真正根据梯度修改参数的是哪一行？","[""`loss_fn(y_hat,y)`"",""`loss.backward()`"",""`optimizer.step()`""]",2,`optimizer.step()`,backward 计算梯度，optimizer.step 使用梯度更新参数。,单选正确得 1 分,深度学习·神经网络基础·训练循环,1,approved
dl-q06,dl-001,dl-base-001,基本了解,应用题,2,训练步骤,已得到一次前向传播的预测值后，训练流程下一步通常是什么？,"[""计算预测与标签之间的损失"",""直接删除模型参数"",""跳过反向传播并结束训练""]",0,计算预测与标签之间的损失,损失为后续反向传播和参数更新提供优化目标。,单选正确得 1 分,动手学深度学习·线性网络·训练流程,1,approved
ml-q07,ml-001,rl-001,基本了解,应用题,1,学习任务类型,预测明天的房屋售价最接近哪类机器学习任务？,"[""回归"",""聚类"",""排序""]",0,回归,房价是连续数值目标，属于回归任务。,单选正确得 1 分,Open Machine Learning Book·机器学习概览,1,approved
ml-q08,ml-001,rl-001,基本了解,概念题,1,学习范式,机器学习模型通过训练数据改进任务表现的核心过程是什么？,"[""根据数据调整模型参数"",""固定参数不再变化"",""只记住每个训练样本""]",0,根据数据调整模型参数,训练通过数据和优化方法调整参数以改善任务表现。,单选正确得 1 分,Open Machine Learning Book·机器学习技术与任务,1,approved
ml-q09,ml-001,rl-001,基本了解,应用题,1,回归问题,下列哪一个目标最适合用回归模型预测？,"[""明天的气温"",""邮件是否垃圾"",""用户属于哪个聚类""]",0,明天的气温,回归用于预测连续数值。,单选正确得 1 分,Open Machine Learning Book·回归模型,1,approved
ml-q10,ml-001,rl-001,基本了解,计算题,1,线性回归,线性回归模型 y=2x+1 在 x=3 时预测值是多少？,"[""7"",""6"",""5""]",0,7,代入 x=3 得 y=2×3+1=7。,单选正确得 1 分,Open Machine Learning Book·线性与多项式回归,1,approved
ml-q11,ml-001,rl-001,基本了解,概念题,1,逻辑回归,逻辑回归在二分类中通常输出什么？,"[""属于正类的概率"",""任意连续售价"",""聚类中心编号""]",0,属于正类的概率,逻辑回归用概率表示二分类预测。,单选正确得 1 分,Open Machine Learning Book·逻辑回归,1,approved
ml-q12,ml-001,rl-001,基本了解,计算题,2,损失函数,两条样本真实值为 2、4，预测为 3、1。均方误差 MSE 是多少？,"[""2.5"",""5"",""10""]",1,5,MSE=((3-2)²+(1-4)²)/2=5。,单选正确得 1 分,Open Machine Learning Book·损失函数,1,approved
ml-q13,ml-001,rl-001,基本了解,概念题,1,梯度下降,梯度下降更新参数时，通常沿哪个方向移动？,"[""负梯度方向"",""正梯度方向"",""随机固定方向""]",0,负梯度方向,沿负梯度方向可局部降低目标函数。,单选正确得 1 分,Open Machine Learning Book·梯度下降,1,approved
ml-q14,ml-001,rl-001,基本了解,应用题,1,分类问题,判断一封邮件是否为垃圾邮件属于什么任务？,"[""分类"",""回归"",""降维""]",0,分类,输出是离散类别标签，属于分类任务。,单选正确得 1 分,Open Machine Learning Book·分类入门,1,approved
ml-q15,ml-001,rl-001,基本了解,概念题,1,聚类,聚类与监督分类的主要区别是什么？,"[""聚类通常没有预先给定的标签"",""聚类必须预测连续值"",""聚类不使用任何数据""]",0,聚类通常没有预先给定的标签,聚类从无标签数据中发现相似分组。,单选正确得 1 分,Open Machine Learning Book·聚类模型,1,approved
ml-q16,ml-001,rl-001,基本了解,概念题,1,集成学习,集成学习的基本思路是什么？,"[""组合多个模型的预测"",""只保留一个样本"",""删除所有弱模型数据""]",0,组合多个模型的预测,集成方法通过组合模型提升稳健性或效果。,单选正确得 1 分,Open Machine Learning Book·集成学习入门,1,approved
ml-q17,ml-001,rl-001,基本了解,评价题,2,模型选择,训练完成后要在多个超参数方案中选择一个，最合适的数据依据是？,"[""验证集表现"",""训练集表现"",""最终测试集反复调参""]",0,验证集表现,验证集用于模型选择；测试集保留给最后评估。,单选正确得 1 分,Open Machine Learning Book·模型选择,1,approved
dl-q07,dl-001,dl-base-001,基本了解,计算题,2,线性代数,"矩阵 A=[[1,2],[3,4]]，向量 x=[1,0]。A x 的结果是？","[""[1,3]"",""[2,4]"",""[3,7]""]",0,"[1,3]","矩阵乘向量得到 [1×1+2×0,3×1+4×0]=[1,3]。",单选正确得 1 分,动手学深度学习·线性代数,1,approved
dl-q08,dl-001,dl-base-001,基本了解,概念题,1,概率基础,概率分布描述的是什么？,"[""随机变量各可能取值的规律"",""模型固定层数"",""训练轮数""]",0,随机变量各可能取值的规律,概率分布刻画随机变量取值及其可能性。,单选正确得 1 分,动手学深度学习·概率,1,approved
dl-q09,dl-001,dl-base-001,基本了解,概念题,1,线性网络,深度学习中的线性回归训练希望通过调整参数使什么尽量变小？,"[""预测与真实值之间的损失"",""训练数据的行数"",""输入特征的名称数""]",0,预测与真实值之间的损失,线性网络根据损失信号更新参数。,单选正确得 1 分,动手学深度学习·线性回归,1,approved
dl-q10,dl-001,dl-base-001,基本了解,概念题,1,Softmax回归,Softmax 回归适合处理什么输出？,"[""多个互斥类别的概率"",""单个连续房价"",""无标签聚类中心""]",0,多个互斥类别的概率,Softmax 将多个类别的分数转为概率分布。,单选正确得 1 分,动手学深度学习·Softmax回归,1,approved
dl-q11,dl-001,dl-base-001,基本了解,概念题,1,多层感知机,多层感知机加入隐藏层和激活函数的主要目的是什么？,"[""表示非线性关系"",""取消所有参数"",""避免使用数据""]",0,表示非线性关系,隐藏层与非线性使模型可表达更复杂函数。,单选正确得 1 分,动手学深度学习·多层感知机,1,approved
dl-q12,dl-001,dl-base-001,基本了解,概念题,1,泛化与过拟合,训练误差很低但测试误差较高通常说明什么？,"[""可能发生过拟合"",""模型一定无需调整"",""数据必然无标签""]",0,可能发生过拟合,训练集表现与未见数据表现差距过大是过拟合信号。,单选正确得 1 分,动手学深度学习·模型选择与过拟合,1,approved
dl-q13,dl-001,dl-base-001,基本了解,概念题,1,参数初始化,不合适的参数初始化可能造成什么问题？,"[""梯度过大或过小"",""自动获得更多标签"",""无需训练""]",0,梯度过大或过小,初始化会影响前后向传播的数值稳定性。,单选正确得 1 分,动手学深度学习·数值稳定性与初始化,1,approved
dl-q14,dl-001,dl-base-001,基本了解,概念题,1,卷积层,卷积层的参数共享带来什么特点？,"[""同一卷积核可在不同位置使用"",""每个像素必须一套完全独立参数"",""不再需要输入""]",0,同一卷积核可在不同位置使用,参数共享降低参数量并利用局部模式。,单选正确得 1 分,动手学深度学习·卷积层,1,approved
dl-q15,dl-001,dl-base-001,基本了解,计算题,1,填充与步幅,在其他条件不变时，增大卷积步幅通常会怎样？,"[""减小输出的空间尺寸"",""增加输入标签数"",""取消卷积核""]",0,减小输出的空间尺寸,步幅变大时卷积核移动更快，输出位置通常更少。,单选正确得 1 分,动手学深度学习·填充和步幅,1,approved
dl-q16,dl-001,dl-base-001,基本了解,概念题,1,池化,池化层主要起什么作用？,"[""下采样并汇聚局部特征"",""计算全部参数梯度"",""产生类别标签""]",0,下采样并汇聚局部特征,池化降低空间分辨率并保留局部显著特征。,单选正确得 1 分,动手学深度学习·池化,1,approved
dl-q17,dl-001,dl-base-001,基本了解,概念题,1,序列模型,序列数据的典型特点是什么？,"[""样本之间存在顺序或时间依赖"",""每个样本完全没有顺序"",""只能是图像""]",0,样本之间存在顺序或时间依赖,序列建模需要考虑前后位置关系。,单选正确得 1 分,动手学深度学习·序列模型,1,approved
dl-q18,dl-001,dl-base-001,基本了解,概念题,1,循环神经网络,RNN 使用隐藏状态主要是为了什么？,"[""保留先前时间步的信息"",""删除所有历史信息"",""固定输出类别数量""]",0,保留先前时间步的信息,RNN 的隐藏状态用于传递序列上下文。,单选正确得 1 分,动手学深度学习·循环神经网络,1,approved
ml-q01-v2,ml-001,rl-001,掌握,应用题,2,折扣因子作用·应用题·v2,一个推荐系统希望重视三个月后的用户留存，而不是只追求当天点击。下列哪种折扣因子设置更符合这一目标？,"[""γ 接近 0，例如 0.05"",""γ 接近 1，例如 0.95"",""把 γ 设为负数""]",1,γ 接近 1，例如 0.95,较大的折扣因子会让未来奖励在当前决策中占更高权重。,单选正确得 1 分,机器学习·强化学习基础·折扣因子；内容负责人编写的独立应用题题 v2,2,approved
ml-q01-v3,ml-001,rl-001,掌握,推导题,3,折扣因子作用·推导题·v3,某策略的两步奖励依次为 1 和 4，终止后无奖励。若 γ=0.5，从第一步开始的折扣回报是多少？,"[""2"",""3"",""5""]",1,3,回报为 1+0.5×4=3。,单选正确得 1 分,机器学习·强化学习基础·折扣因子；内容负责人编写的独立推导题题 v3,3,approved
ml-q01-v4,ml-001,rl-001,掌握,复测题,2,折扣因子作用·复测题·v4,无提示复测：当 γ 从 0.9 调低到 0.1 时，智能体的决策会更倾向于哪一类奖励？,"[""很久以后的奖励"",""即时奖励"",""两者权重完全不变""]",1,即时奖励,γ 变小会明显降低远期奖励的贡献。,单选正确得 1 分,机器学习·强化学习基础·折扣因子；内容负责人编写的独立复测题题 v4,4,approved
ml-q02-v2,ml-001,rl-001,掌握,概念题,1,长期回报计算·概念题·v2,在强化学习中，“回报”与“单步奖励”的关系最准确的是？,"[""回报只等于当前一步奖励"",""回报可以累计当前及未来奖励"",""回报只由动作数量决定""]",1,回报可以累计当前及未来奖励,回报描述从当前时刻开始的累计奖励。,单选正确得 1 分,机器学习·强化学习基础·长期回报；内容负责人编写的独立概念题题 v2,2,approved
ml-q02-v3,ml-001,rl-001,掌握,推导题,3,长期回报计算·推导题·v3,从时刻 t 开始，奖励依次为 3、2、1，γ=0.5。G_t 的值是多少？,"[""4.25"",""5"",""6""]",0,4.25,G_t=3+0.5×2+0.5²×1=4.25。,单选正确得 1 分,机器学习·强化学习基础·长期回报；内容负责人编写的独立推导题题 v3,3,approved
ml-q02-v4,ml-001,rl-001,掌握,复测题,2,长期回报计算·复测题·v4,无提示复测：若终止状态之后的价值定义为 0，终止前一步的回报最直接由什么决定？,"[""该步即时奖励"",""下一轮训练的学习率"",""网络隐藏层数""]",0,该步即时奖励,终止后没有未来回报，因此只剩当前奖励。,单选正确得 1 分,机器学习·强化学习基础·长期回报；内容负责人编写的独立复测题题 v4,4,approved
