knowledge_point_id,current_questions,target_questions,missing_questions,required_new_stages,required_new_types,owner_action,status
math-prob,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
rl-discount,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
algo-dp,0,7,7,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
rl-bellman,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
rl-mdp,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
rl-qlearning,8,7,0,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,ready_for_sampling
dl-neuron,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-activation,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-forward,0,7,7,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-loss,5,7,2,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-backprop,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-training,8,7,0,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,ready_for_sampling
ml-learning-task,5,7,2,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-learning-paradigm,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-regression,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-linear-regression,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-logistic-regression,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-loss-function,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-gradient-descent,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-classification,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-clustering,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-ensemble,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
ml-model-selection,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-linear-algebra,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-probability,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-linear-regression,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-softmax,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-mlp,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-generalization,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-initialization,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-convolution,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-padding-stride,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-pooling,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-sequence,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
dl-rnn,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
prog-python,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
prog-qtable,4,7,3,优先新增不与诊断重复的练习题和无提示复测题,按知识点补真实应用、调试、实现或案例建模题,内容负责人编写并人工审核；不得由换序或通用改写替代。,waiting_content_expansion
