question_id,knowledge_point_id,coverage_weight,status
ml-q01,rl-discount,1.0,active
ml-q02,rl-discount,1.0,active
ml-q02,math-prob,0.6,active
ml-q03,rl-mdp,1.0,active
ml-q04,algo-dp,0.5,active
ml-q04,rl-bellman,1.0,active
ml-q05,rl-qlearning,1.0,active
ml-q06,rl-qlearning,1.0,active
dl-q01,dl-neuron,1.0,active
dl-q02,dl-activation,1.0,active
dl-q03,dl-forward,1.0,active
dl-q03,dl-loss,0.5,active
dl-q04,dl-backprop,1.0,active
dl-q05,dl-training,1.0,active
dl-q06,dl-training,1.0,active
ml-q07,ml-learning-task,1.0,active
ml-q08,ml-learning-paradigm,1.0,active
ml-q09,ml-regression,1.0,active
ml-q10,ml-linear-regression,1.0,active
ml-q11,ml-logistic-regression,1.0,active
ml-q12,ml-loss-function,1.0,active
ml-q13,ml-gradient-descent,1.0,active
ml-q14,ml-classification,1.0,active
ml-q15,ml-clustering,1.0,active
ml-q16,ml-ensemble,1.0,active
ml-q17,ml-model-selection,1.0,active
dl-q07,dl-linear-algebra,1.0,active
dl-q08,dl-probability,1.0,active
dl-q09,dl-linear-regression,1.0,active
dl-q10,dl-softmax,1.0,active
dl-q11,dl-mlp,1.0,active
dl-q12,dl-generalization,1.0,active
dl-q13,dl-initialization,1.0,active
dl-q14,dl-convolution,1.0,active
dl-q15,dl-padding-stride,1.0,active
dl-q16,dl-pooling,1.0,active
dl-q17,dl-sequence,1.0,active
dl-q18,dl-rnn,1.0,active
ml-q01-v2,rl-discount,1.0,active
ml-q01-v3,rl-discount,1.0,active
ml-q01-v4,rl-discount,1.0,active
ml-q02-v2,rl-discount,1.0,active
ml-q02-v2,math-prob,0.6,active
ml-q02-v3,rl-discount,1.0,active
ml-q02-v3,math-prob,0.6,active
ml-q02-v4,rl-discount,1.0,active
ml-q02-v4,math-prob,0.6,active
ml-q03-v2,rl-mdp,1.0,active
ml-q03-v3,rl-mdp,1.0,active
ml-q03-v4,rl-mdp,1.0,active
ml-q04-v2,algo-dp,0.5,active
ml-q04-v2,rl-bellman,1.0,active
ml-q04-v3,algo-dp,0.5,active
ml-q04-v3,rl-bellman,1.0,active
ml-q04-v4,algo-dp,0.5,active
ml-q04-v4,rl-bellman,1.0,active
ml-q05-v2,rl-qlearning,1.0,active
