ability_id,knowledge_point_id,relation_type,weight,status
math,math-prob,core,1.0,active
math,rl-discount,core,1.0,active
math,rl-bellman,supporting,0.6,active
algorithm,algo-dp,core,1.0,active
algorithm,rl-bellman,core,0.9,active
algorithm,rl-qlearning,core,0.9,active
programming,prog-python,core,1.0,active
programming,prog-qtable,core,1.0,active
programming,rl-qlearning,supporting,0.5,active
conceptual,rl-mdp,core,1.0,active
conceptual,rl-bellman,supporting,0.5,active
conceptual,rl-qlearning,supporting,0.5,active
math,dl-neuron,supporting,0.6,active
conceptual,dl-neuron,core,1.0,active
conceptual,dl-activation,core,1.0,active
algorithm,dl-forward,core,0.8,active
math,dl-loss,core,0.8,active
algorithm,dl-backprop,core,1.0,active
programming,dl-training,core,0.9,active
algorithm,dl-training,core,0.8,active
conceptual,ml-learning-task,core,1.0,active
conceptual,ml-learning-paradigm,core,0.9,active
conceptual,ml-regression,core,0.9,active
math,ml-linear-regression,core,0.9,active
conceptual,ml-linear-regression,core,0.8,active
math,ml-logistic-regression,supporting,0.7,active
algorithm,ml-logistic-regression,core,0.8,active
math,ml-loss-function,core,0.9,active
algorithm,ml-gradient-descent,core,1.0,active
conceptual,ml-classification,core,1.0,active
algorithm,ml-clustering,core,0.9,active
conceptual,ml-ensemble,core,0.9,active
math,ml-model-selection,supporting,0.7,active
conceptual,ml-model-selection,core,0.9,active
math,dl-linear-algebra,core,1.0,active
math,dl-probability,core,1.0,active
math,dl-linear-regression,core,0.9,active
algorithm,dl-linear-regression,core,0.8,active
math,dl-softmax,core,0.8,active
conceptual,dl-softmax,core,0.9,active
conceptual,dl-mlp,core,1.0,active
conceptual,dl-generalization,core,1.0,active
math,dl-initialization,core,0.9,active
conceptual,dl-convolution,core,1.0,active
math,dl-padding-stride,core,0.8,active
conceptual,dl-pooling,core,0.9,active
conceptual,dl-sequence,core,1.0,active
algorithm,dl-rnn,core,1.0,active
