mastery_task_id,reference_answer_outline,scoring_dimensions_json,common_errors,hint_policy,reviewer_instruction,status
mt-rl-discount,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""核心结论正确"",""max_score"":2},{""dimension"":""推理或计算过程"",""max_score"":1},{""dimension"":""解释、应用或边界说明"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-math-prob,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""核心结论正确"",""max_score"":2},{""dimension"":""推理或计算过程"",""max_score"":1},{""dimension"":""解释、应用或边界说明"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-algo-dp,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""关键逻辑正确"",""max_score"":2},{""dimension"":""步骤或代码完整"",""max_score"":1},{""dimension"":""解释或边界处理"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-rl-bellman,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""核心结论正确"",""max_score"":2},{""dimension"":""推理或计算过程"",""max_score"":1},{""dimension"":""解释、应用或边界说明"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-rl-mdp,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""问题与目标定义"",""max_score"":1},{""dimension"":""方法选择与理由"",""max_score"":1},{""dimension"":""方案逻辑"",""max_score"":1},{""dimension"":""局限或验证方式"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-rl-qlearning,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""关键逻辑正确"",""max_score"":2},{""dimension"":""步骤或代码完整"",""max_score"":1},{""dimension"":""解释或边界处理"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-ml-task,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""问题与目标定义"",""max_score"":1},{""dimension"":""方法选择与理由"",""max_score"":1},{""dimension"":""方案逻辑"",""max_score"":1},{""dimension"":""局限或验证方式"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-ml-paradigm,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""核心结论正确"",""max_score"":2},{""dimension"":""推理或计算过程"",""max_score"":1},{""dimension"":""解释、应用或边界说明"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-ml-regression,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""问题与目标定义"",""max_score"":1},{""dimension"":""方法选择与理由"",""max_score"":1},{""dimension"":""方案逻辑"",""max_score"":1},{""dimension"":""局限或验证方式"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
mt-ml-linear-regression,待内容负责人填写：参考解答、关键步骤或参考实现。,"[{""dimension"":""关键逻辑正确"",""max_score"":2},{""dimension"":""步骤或代码完整"",""max_score"":1},{""dimension"":""解释或边界处理"",""max_score"":1}]",待内容负责人填写：常见错误、扣分边界与不可接受答案。,正式掌握任务默认无提示；如使用提示，必须记录 used_hint，不能作为无提示复测证据。,审核人按维度评分，并在 review_note 中写明关键依据；总分不得超过 max_score。,waiting_human_confirmation
