book_id,topic_id,knowledge_point_id,chapter_id,scope_type,status
ml-001,ml-course-001,ml-learning-task,ch-ml-01,required,active
ml-001,ml-course-001,ml-learning-paradigm,ch-ml-01,required,active
ml-001,ml-course-001,ml-regression,ch-ml-02,required,active
ml-001,ml-course-001,ml-linear-regression,ch-ml-02,required,active
ml-001,ml-course-001,ml-logistic-regression,ch-ml-02,required,active
ml-001,ml-course-001,ml-loss-function,ch-ml-02,required,active
ml-001,ml-course-001,ml-gradient-descent,ch-ml-02,required,active
ml-001,ml-course-001,ml-classification,ch-ml-03,required,active
ml-001,ml-course-001,ml-clustering,ch-ml-04,required,active
ml-001,ml-course-001,ml-ensemble,ch-ml-04,required,active
ml-001,ml-course-001,ml-model-selection,ch-ml-05,required,active
ml-001,ml-course-001,math-prob,ch-rl-01,required,active
ml-001,ml-course-001,rl-discount,ch-rl-01,required,active
ml-001,ml-course-001,algo-dp,ch-rl-01,required,active
ml-001,ml-course-001,rl-bellman,ch-rl-01,required,active
ml-001,ml-course-001,rl-mdp,ch-rl-01,required,active
ml-001,ml-course-001,rl-qlearning,ch-rl-01,required,active
ml-001,ml-course-001,prog-python,ch-rl-01,recommended,active
ml-001,ml-course-001,prog-qtable,ch-rl-01,recommended,active
dl-001,dl-course-001,dl-linear-algebra,ch-dl-01,required,active
dl-001,dl-course-001,dl-probability,ch-dl-01,required,active
dl-001,dl-course-001,dl-linear-regression,ch-dl-02,required,active
dl-001,dl-course-001,dl-softmax,ch-dl-02,required,active
dl-001,dl-course-001,dl-mlp,ch-dl-03,required,active
dl-001,dl-course-001,dl-generalization,ch-dl-03,required,active
dl-001,dl-course-001,dl-initialization,ch-dl-03,required,active
dl-001,dl-course-001,dl-convolution,ch-dl-04,required,active
dl-001,dl-course-001,dl-padding-stride,ch-dl-04,required,active
dl-001,dl-course-001,dl-pooling,ch-dl-04,required,active
dl-001,dl-course-001,dl-sequence,ch-dl-05,required,active
dl-001,dl-course-001,dl-rnn,ch-dl-05,required,active
dl-001,dl-course-001,dl-neuron,ch-dl-03,required,active
dl-001,dl-course-001,dl-activation,ch-dl-03,required,active
dl-001,dl-course-001,dl-forward,ch-dl-02,required,active
dl-001,dl-course-001,dl-loss,ch-dl-02,required,active
dl-001,dl-course-001,dl-backprop,ch-dl-03,required,active
dl-001,dl-course-001,dl-training,ch-dl-03,required,active
