question_id,ability_id,coverage_weight,status
ml-q01,math,1.0,active
ml-q02,math,1.0,active
ml-q03,conceptual,1.0,active
ml-q04,algorithm,1.0,active
ml-q05,programming,1.0,active
ml-q06,algorithm,1.0,active
dl-q01,conceptual,1.0,active
dl-q02,conceptual,1.0,active
dl-q03,algorithm,1.0,active
dl-q04,algorithm,1.0,active
dl-q05,programming,1.0,active
dl-q06,algorithm,1.0,active
dl-q06,math,0.7,active
ml-q07,conceptual,1.0,active
ml-q08,conceptual,1.0,active
ml-q09,conceptual,1.0,active
ml-q10,math,1.0,active
ml-q11,algorithm,0.8,active
ml-q12,math,0.8,active
ml-q13,algorithm,1.0,active
ml-q14,conceptual,1.0,active
ml-q15,algorithm,0.8,active
ml-q16,conceptual,1.0,active
ml-q17,conceptual,1.0,active
dl-q07,math,1.0,active
dl-q08,math,1.0,active
dl-q09,algorithm,0.8,active
dl-q10,conceptual,1.0,active
dl-q11,conceptual,1.0,active
dl-q12,conceptual,1.0,active
dl-q13,math,0.8,active
dl-q14,conceptual,1.0,active
dl-q15,math,0.8,active
dl-q16,conceptual,1.0,active
dl-q17,conceptual,1.0,active
dl-q18,algorithm,1.0,active
ml-q01-v2,math,1.0,active
ml-q01-v3,math,1.0,active
ml-q01-v4,math,1.0,active
ml-q02-v2,math,1.0,active
ml-q02-v3,math,1.0,active
ml-q02-v4,math,1.0,active
ml-q03-v2,conceptual,1.0,active
ml-q03-v3,conceptual,1.0,active
ml-q03-v4,conceptual,1.0,active
ml-q04-v2,algorithm,1.0,active
ml-q04-v3,algorithm,1.0,active
ml-q04-v4,algorithm,1.0,active
ml-q05-v2,programming,1.0,active
ml-q05-v3,programming,1.0,active
ml-q05-v4,programming,1.0,active
ml-q06-v2,algorithm,1.0,active
ml-q06-v3,algorithm,1.0,active
ml-q06-v4,algorithm,1.0,active
dl-q01-v2,conceptual,1.0,active
dl-q01-v3,conceptual,1.0,active
dl-q01-v4,conceptual,1.0,active
dl-q02-v2,conceptual,1.0,active
dl-q02-v3,conceptual,1.0,active
dl-q02-v4,conceptual,1.0,active
dl-q03-v2,algorithm,1.0,active
dl-q03-v3,algorithm,1.0,active
dl-q03-v4,algorithm,1.0,active
dl-q04-v2,algorithm,1.0,active
dl-q04-v3,algorithm,1.0,active
dl-q04-v4,algorithm,1.0,active
dl-q05-v2,programming,1.0,active
dl-q05-v3,programming,1.0,active
dl-q05-v4,programming,1.0,active
dl-q06-v2,algorithm,1.0,active
dl-q06-v2,math,0.7,active
dl-q06-v3,algorithm,1.0,active
dl-q06-v3,math,0.7,active
dl-q06-v4,algorithm,1.0,active
dl-q06-v4,math,0.7,active
ml-q07-v2,conceptual,1.0,active
ml-q07-v3,conceptual,1.0,active
ml-q07-v4,conceptual,1.0,active
ml-q08-v2,conceptual,1.0,active
ml-q08-v3,conceptual,1.0,active
ml-q08-v4,conceptual,1.0,active
ml-q09-v2,conceptual,1.0,active
ml-q09-v3,conceptual,1.0,active
ml-q09-v4,conceptual,1.0,active
ml-q10-v2,math,1.0,active
ml-q10-v3,math,1.0,active
ml-q10-v4,math,1.0,active
ml-q11-v2,algorithm,0.8,active
ml-q11-v3,algorithm,0.8,active
ml-q11-v4,algorithm,0.8,active
ml-q12-v2,math,0.8,active
ml-q12-v3,math,0.8,active
ml-q12-v4,math,0.8,active
ml-q13-v2,algorithm,1.0,active
ml-q13-v3,algorithm,1.0,active
ml-q13-v4,algorithm,1.0,active
ml-q14-v2,conceptual,1.0,active
ml-q14-v3,conceptual,1.0,active
ml-q14-v4,conceptual,1.0,active
ml-q15-v2,algorithm,0.8,active
ml-q15-v3,algorithm,0.8,active
ml-q15-v4,algorithm,0.8,active
ml-q16-v2,conceptual,1.0,active
ml-q16-v3,conceptual,1.0,active
ml-q16-v4,conceptual,1.0,active
ml-q17-v2,conceptual,1.0,active
ml-q17-v3,conceptual,1.0,active
ml-q17-v4,conceptual,1.0,active
dl-q07-v2,math,1.0,active
dl-q07-v3,math,1.0,active
dl-q07-v4,math,1.0,active
dl-q08-v2,math,1.0,active
dl-q08-v3,math,1.0,active
dl-q08-v4,math,1.0,active
dl-q09-v2,algorithm,0.8,active
dl-q09-v3,algorithm,0.8,active
dl-q09-v4,algorithm,0.8,active
dl-q10-v2,conceptual,1.0,active
dl-q10-v3,conceptual,1.0,active
dl-q10-v4,conceptual,1.0,active
dl-q11-v2,conceptual,1.0,active
dl-q11-v3,conceptual,1.0,active
dl-q11-v4,conceptual,1.0,active
dl-q12-v2,conceptual,1.0,active
dl-q12-v3,conceptual,1.0,active
dl-q12-v4,conceptual,1.0,active
dl-q13-v2,math,0.8,active
dl-q13-v3,math,0.8,active
dl-q13-v4,math,0.8,active
dl-q14-v2,conceptual,1.0,active
dl-q14-v3,conceptual,1.0,active
dl-q14-v4,conceptual,1.0,active
dl-q15-v2,math,0.8,active
dl-q15-v3,math,0.8,active
dl-q15-v4,math,0.8,active
dl-q16-v2,conceptual,1.0,active
dl-q16-v3,conceptual,1.0,active
dl-q16-v4,conceptual,1.0,active
dl-q17-v2,conceptual,1.0,active
dl-q17-v3,conceptual,1.0,active
dl-q17-v4,conceptual,1.0,active
dl-q18-v2,algorithm,1.0,active
dl-q18-v3,algorithm,1.0,active
dl-q18-v4,algorithm,1.0,active
