content_unit_id,book_id,topic_id,chapter_id,chapter_name,section_title,content_type,source_id,source_relative_path,source_url,source_commit,estimated_minutes,cleaning_status,review_status,learning_objective,reviewer,reviewed_at,review_method
ml-unit-001,ml-001,ml-core-001,ch-ml-01,机器学习基础与监督学习,机器学习概览,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/ml-overview.ipynb,https://press.ocademy.cc/ml-fundamentals/ml-overview.html,b1a5645749b1e3ec9977693b01c662014b71cae5,25,approved,approved,完成“机器学习概览”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-002,ml-001,ml-core-001,ch-ml-01,机器学习基础与监督学习,机器学习技术与任务,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/ml-summary.ipynb,https://press.ocademy.cc/ml-fundamentals/ml-summary.html,b1a5645749b1e3ec9977693b01c662014b71cae5,30,approved,approved,完成“机器学习技术与任务”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-003,ml-001,ml-core-001,ch-ml-02,回归与优化,回归模型,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/regression/regression-models-for-machine-learning.ipynb,https://press.ocademy.cc/ml-fundamentals/regression/regression-models-for-machine-learning.html,b1a5645749b1e3ec9977693b01c662014b71cae5,35,approved,approved,完成“回归模型”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-004,ml-001,ml-core-001,ch-ml-02,回归与优化,线性与多项式回归,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/regression/linear-and-polynomial-regression.ipynb,https://press.ocademy.cc/ml-fundamentals/regression/linear-and-polynomial-regression.html,b1a5645749b1e3ec9977693b01c662014b71cae5,40,approved,approved,完成“线性与多项式回归”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-005,ml-001,ml-core-001,ch-ml-02,回归与优化,逻辑回归,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/regression/logistic-regression.ipynb,https://press.ocademy.cc/ml-fundamentals/regression/logistic-regression.html,b1a5645749b1e3ec9977693b01c662014b71cae5,40,approved,approved,完成“逻辑回归”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-006,ml-001,ml-core-001,ch-ml-02,回归与优化,损失函数,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/parameter-optimization/loss-function.ipynb,https://press.ocademy.cc/ml-fundamentals/parameter-optimization/loss-function.html,b1a5645749b1e3ec9977693b01c662014b71cae5,30,approved,approved,完成“损失函数”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-007,ml-001,ml-core-001,ch-ml-02,回归与优化,梯度下降,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/parameter-optimization/gradient-descent.ipynb,https://press.ocademy.cc/ml-fundamentals/parameter-optimization/gradient-descent.html,b1a5645749b1e3ec9977693b01c662014b71cae5,35,approved,approved,完成“梯度下降”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-008,ml-001,ml-core-001,ch-ml-03,分类与评估,分类入门,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-fundamentals/classification/getting-started-with-classification.ipynb,https://press.ocademy.cc/ml-fundamentals/classification/getting-started-with-classification.html,b1a5645749b1e3ec9977693b01c662014b71cae5,35,approved,approved,完成“分类入门”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-009,ml-001,ml-core-001,ch-ml-04,无监督与集成学习,聚类模型,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-advanced/clustering/clustering-models-for-machine-learning.ipynb,https://press.ocademy.cc/ml-advanced/clustering/clustering-models-for-machine-learning.html,b1a5645749b1e3ec9977693b01c662014b71cae5,35,approved,approved,完成“聚类模型”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-010,ml-001,ml-core-001,ch-ml-04,无监督与集成学习,集成学习入门,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-advanced/ensemble-learning/getting-started-with-ensemble-learning.ipynb,https://press.ocademy.cc/ml-advanced/ensemble-learning/getting-started-with-ensemble-learning.html,b1a5645749b1e3ec9977693b01c662014b71cae5,35,approved,approved,完成“集成学习入门”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-011,ml-001,ml-core-001,ch-ml-05,模型选择与泛化,模型选择,reading,src-ocademy-ml,open-machine-learning-jupyter-book/ml-advanced/model-selection.ipynb,https://press.ocademy.cc/ml-advanced/model-selection.html,b1a5645749b1e3ec9977693b01c662014b71cae5,30,approved,approved,完成“模型选择”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-012,ml-001,rl-001,ch-rl-01,强化学习基础,深度 Q 学习,reading,src-ocademy-ml,open-machine-learning-jupyter-book/deep-learning/dqn.ipynb,https://press.ocademy.cc/deep-learning/dqn.html,b1a5645749b1e3ec9977693b01c662014b71cae5,45,approved,approved,完成“深度 Q 学习”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-001,dl-001,dl-core-001,ch-dl-01,预备知识,线性代数,reading,src-d2l-zh,chapter_preliminaries/linear-algebra.md,https://zh.d2l.ai/chapter_preliminaries/linear-algebra.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“线性代数”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-002,dl-001,dl-core-001,ch-dl-01,预备知识,概率,reading,src-d2l-zh,chapter_preliminaries/probability.md,https://zh.d2l.ai/chapter_preliminaries/probability.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“概率”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-003,dl-001,dl-core-001,ch-dl-02,线性网络,线性回归,reading,src-d2l-zh,chapter_linear-networks/linear-regression.md,https://zh.d2l.ai/chapter_linear-networks/linear-regression.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“线性回归”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-004,dl-001,dl-core-001,ch-dl-02,线性网络,Softmax 回归,reading,src-d2l-zh,chapter_linear-networks/softmax-regression.md,https://zh.d2l.ai/chapter_linear-networks/softmax-regression.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“Softmax 回归”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-005,dl-001,dl-core-001,ch-dl-03,多层感知机,多层感知机,reading,src-d2l-zh,chapter_multilayer-perceptrons/mlp.md,https://zh.d2l.ai/chapter_multilayer-perceptrons/mlp.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“多层感知机”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-006,dl-001,dl-core-001,ch-dl-03,多层感知机,模型选择与过拟合,reading,src-d2l-zh,chapter_multilayer-perceptrons/underfit-overfit.md,https://zh.d2l.ai/chapter_multilayer-perceptrons/underfit-overfit.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,35,approved,approved,完成“模型选择与过拟合”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-007,dl-001,dl-core-001,ch-dl-03,多层感知机,数值稳定性与初始化,reading,src-d2l-zh,chapter_multilayer-perceptrons/numerical-stability-and-init.md,https://zh.d2l.ai/chapter_multilayer-perceptrons/numerical-stability-and-init.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,35,approved,approved,完成“数值稳定性与初始化”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-008,dl-001,dl-core-001,ch-dl-03,多层感知机,反向传播,reading,src-d2l-zh,chapter_multilayer-perceptrons/backprop.md,https://zh.d2l.ai/chapter_multilayer-perceptrons/backprop.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“反向传播”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-009,dl-001,dl-core-001,ch-dl-04,卷积神经网络,卷积层,reading,src-d2l-zh,chapter_convolutional-neural-networks/conv-layer.md,https://zh.d2l.ai/chapter_convolutional-neural-networks/conv-layer.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“卷积层”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-010,dl-001,dl-core-001,ch-dl-04,卷积神经网络,填充和步幅,reading,src-d2l-zh,chapter_convolutional-neural-networks/padding-and-strides.md,https://zh.d2l.ai/chapter_convolutional-neural-networks/padding-and-strides.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,35,approved,approved,完成“填充和步幅”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-011,dl-001,dl-core-001,ch-dl-04,卷积神经网络,池化,reading,src-d2l-zh,chapter_convolutional-neural-networks/pooling.md,https://zh.d2l.ai/chapter_convolutional-neural-networks/pooling.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,30,approved,approved,完成“池化”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-012,dl-001,dl-core-001,ch-dl-05,循环神经网络,序列模型,reading,src-d2l-zh,chapter_recurrent-neural-networks/sequence.md,https://zh.d2l.ai/chapter_recurrent-neural-networks/sequence.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,35,approved,approved,完成“序列模型”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
dl-unit-013,dl-001,dl-core-001,ch-dl-05,循环神经网络,循环神经网络,reading,src-d2l-zh,chapter_recurrent-neural-networks/rnn.md,https://zh.d2l.ai/chapter_recurrent-neural-networks/rnn.html,e6b18ccea71451a55fcd861d7b96fddf2587b09a,45,approved,approved,完成“循环神经网络”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-013,ml-001,ml-course-001,ch-rl-01,强化学习基础,Python 编程基础,reading,src-ocademy-ml,open-machine-learning-jupyter-book/prerequisites/python-programming-basics.ipynb,https://press.ocademy.cc/prerequisites/python-programming-basics.html,b1a5645749b1e3ec9977693b01c662014b71cae5,45,approved,approved,完成“Python 编程基础”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
ml-unit-014,ml-001,ml-course-001,ch-rl-01,强化学习基础,Q 表实现,reading,src-ocademy-ml,open-machine-learning-jupyter-book/deep-learning/dqn.ipynb,https://press.ocademy.cc/deep-learning/dqn.html,b1a5645749b1e3ec9977693b01c662014b71cae5,45,approved,approved,完成“Q 表实现”阅读后，能够解释并应用关联知识点。,content-editorial-v1,2026-07-31,editorial-structure-and-source-audit-v1
