"mastery_task_id","title","grading_type","response_schema_json","answer_key_json","scoring_rules_json","max_score","status","content_review_status","authoring_note"
"mt-rl-discount","折扣因子决策解释","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""immediate_gamma"",""long_term_gamma""],""fields"":[{""id"":""immediate_gamma"",""label"":""即时奖励优先时的 gamma"",""type"":""enum"",""options"":[""small"",""large""]},{""id"":""long_term_gamma"",""label"":""长期回报优先时的 gamma"",""type"":""enum"",""options"":[""small"",""large""]}]}","{""immediate_gamma"":{""value"":""small""},""long_term_gamma"":{""value"":""large""}}","[{""field"":""immediate_gamma"",""points"":2},{""field"":""long_term_gamma"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-math-prob","三步回报推导","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""term_1"",""term_2"",""term_3"",""return_value""],""fields"":[{""id"":""term_1"",""label"":""第 1 项"",""type"":""number"",""options"":[]},{""id"":""term_2"",""label"":""第 2 项"",""type"":""number"",""options"":[]},{""id"":""term_3"",""label"":""第 3 项"",""type"":""number"",""options"":[]},{""id"":""return_value"",""label"":""折扣回报"",""type"":""number"",""options"":[]}]}","{""term_1"":{""value"":2,""tolerance"":0.0001},""term_2"":{""value"":1.5,""tolerance"":0.0001},""term_3"":{""value"":1.25,""tolerance"":0.0001},""return_value"":{""value"":4.75,""tolerance"":0.0001}}","[{""field"":""term_1"",""points"":1},{""field"":""term_2"",""points"":1},{""field"":""term_3"",""points"":1},{""field"":""return_value"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-algo-dp","价值迭代更新诊断","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""missing_parts"",""update_structure""],""fields"":[{""id"":""missing_parts"",""label"":""原式缺少的部分"",""type"":""set"",""options"":[""discount_factor"",""next_state_value""]},{""id"":""update_structure"",""label"":""正确更新结构"",""type"":""enum"",""options"":[""reward + gamma * max_next_value"",""reward_only"",""gamma * current_value""]}]}","{""missing_parts"":{""values"":[""discount_factor"",""next_state_value""],""minCorrect"":2},""update_structure"":{""value"":""reward + gamma * max_next_value""}}","[{""field"":""missing_parts"",""points"":2},{""field"":""update_structure"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-rl-bellman","贝尔曼更新计算","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""discounted_future"",""target_value""],""fields"":[{""id"":""discounted_future"",""label"":""折扣后的未来价值"",""type"":""number"",""options"":[]},{""id"":""target_value"",""label"":""动作价值目标"",""type"":""number"",""options"":[]}]}","{""discounted_future"":{""value"":6,""tolerance"":0.0001},""target_value"":{""value"":7,""tolerance"":0.0001}}","[{""field"":""discounted_future"",""points"":2},{""field"":""target_value"",""points"":2}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-rl-mdp","网格机器人 MDP","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""state"",""action"",""reward"",""transition""],""fields"":[{""id"":""state"",""label"":""状态定义"",""type"":""enum"",""options"":[""grid_position"",""robot_color"",""episode_number""]},{""id"":""action"",""label"":""动作定义"",""type"":""enum"",""options"":[""move_direction"",""reward_value"",""next_state""]},{""id"":""reward"",""label"":""奖励定义"",""type"":""enum"",""options"":[""reach_goal_reward"",""current_position"",""action_name""]},{""id"":""transition"",""label"":""不确定性示例"",""type"":""enum"",""options"":[""slip_to_neighbor"",""always_same_state"",""reward_is_random""]}]}","{""state"":{""value"":""grid_position""},""action"":{""value"":""move_direction""},""reward"":{""value"":""reach_goal_reward""},""transition"":{""value"":""slip_to_neighbor""}}","[{""field"":""state"",""points"":1},{""field"":""action"",""points"":1},{""field"":""reward"",""points"":1},{""field"":""transition"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-rl-qlearning","Q 表更新函数","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""non_terminal_target"",""terminal_future"",""update_rule""],""fields"":[{""id"":""non_terminal_target"",""label"":""非终止状态目标值"",""type"":""enum"",""options"":[""reward + gamma * max_next_q"",""reward + max_current_q"",""gamma * current_q""]},{""id"":""terminal_future"",""label"":""终止状态未来价值"",""type"":""enum"",""options"":[""zero"",""max_next_q"",""current_q""]},{""id"":""update_rule"",""label"":""更新形式"",""type"":""enum"",""options"":[""q + alpha * (target - q)"",""target - q"",""q + target""]}]}","{""non_terminal_target"":{""value"":""reward + gamma * max_next_q""},""terminal_future"":{""value"":""zero""},""update_rule"":{""value"":""q + alpha * (target - q)""}}","[{""field"":""non_terminal_target"",""points"":2},{""field"":""terminal_future"",""points"":1},{""field"":""update_rule"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-task","任务类型辨析","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""house_price"",""spam"",""user_grouping"",""label_rule""],""fields"":[{""id"":""house_price"",""label"":""房价预测"",""type"":""enum"",""options"":[""regression_continuous_label"",""classification_category_label"",""clustering_no_label""]},{""id"":""spam"",""label"":""垃圾邮件识别"",""type"":""enum"",""options"":[""regression_continuous_label"",""classification_category_label"",""clustering_no_label""]},{""id"":""user_grouping"",""label"":""用户分群"",""type"":""enum"",""options"":[""regression_continuous_label"",""classification_category_label"",""clustering_no_label""]},{""id"":""label_rule"",""label"":""聚类的标签特点"",""type"":""enum"",""options"":[""no_predefined_label"",""continuous_label"",""binary_label""]}]}","{""house_price"":{""value"":""regression_continuous_label""},""spam"":{""value"":""classification_category_label""},""user_grouping"":{""value"":""clustering_no_label""},""label_rule"":{""value"":""no_predefined_label""}}","[{""field"":""house_price"",""points"":1},{""field"":""spam"",""points"":1},{""field"":""user_grouping"",""points"":1},{""field"":""label_rule"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-paradigm","训练验证测试分工","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""train"",""validation"",""test"",""test_leakage""],""fields"":[{""id"":""train"",""label"":""训练集用途"",""type"":""enum"",""options"":[""fit_parameters"",""select_hyperparameters"",""final_evaluation""]},{""id"":""validation"",""label"":""验证集用途"",""type"":""enum"",""options"":[""fit_parameters"",""select_hyperparameters"",""final_evaluation""]},{""id"":""test"",""label"":""测试集用途"",""type"":""enum"",""options"":[""fit_parameters"",""select_hyperparameters"",""final_evaluation""]},{""id"":""test_leakage"",""label"":""反复用测试集调参的后果"",""type"":""enum"",""options"":[""overestimate_generalization"",""reduce_training_loss"",""increase_data_size""]}]}","{""train"":{""value"":""fit_parameters""},""validation"":{""value"":""select_hyperparameters""},""test"":{""value"":""final_evaluation""},""test_leakage"":{""value"":""overestimate_generalization""}}","[{""field"":""train"",""points"":1},{""field"":""validation"",""points"":1},{""field"":""test"",""points"":1},{""field"":""test_leakage"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-regression","二手车价格建模","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""label"",""features"",""reason""],""fields"":[{""id"":""label"",""label"":""预测标签"",""type"":""enum"",""options"":[""continuous_price"",""car_brand_category"",""cluster_id""]},{""id"":""features"",""label"":""选择 3 个特征"",""type"":""set"",""options"":[""age"",""mileage"",""brand""]},{""id"":""reason"",""label"":""属于回归的原因"",""type"":""enum"",""options"":[""continuous_target"",""no_label"",""binary_target""]}]}","{""label"":{""value"":""continuous_price""},""features"":{""values"":[""age"",""mileage"",""brand""],""minCorrect"":3},""reason"":{""value"":""continuous_target""}}","[{""field"":""label"",""points"":1},{""field"":""features"",""points"":2},{""field"":""reason"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
"mt-ml-linear-regression","批量线性预测","structured_fields","{""type"":""object"",""additionalProperties"":false,""required"":[""formula"",""x_shape"",""prediction_shape""],""fields"":[{""id"":""formula"",""label"":""预测公式"",""type"":""text"",""options"":[]},{""id"":""x_shape"",""label"":""X 的形状"",""type"":""enum"",""options"":[""batch_size x d"",""d x batch_size"",""batch_size x 1""]},{""id"":""prediction_shape"",""label"":""预测值形状"",""type"":""enum"",""options"":[""batch_size x 1"",""d x 1"",""1 x batch_size""]}]}","{""formula"":{""value"":""X @ w + b""},""x_shape"":{""value"":""batch_size x d""},""prediction_shape"":{""value"":""batch_size x 1""}}","[{""field"":""formula"",""points"":2},{""field"":""x_shape"",""points"":1},{""field"":""prediction_shape"",""points"":1}]","4","approved","ai_pre_assessed_pending_human","开发者维护的确定性答案键；内容负责人应离线核对后再解除题库质量门控。"
