chapter_id,knowledge_point_id,relation_type,status
ch-ml-01,ml-learning-task,primary,active
ch-ml-01,ml-learning-paradigm,primary,active
ch-ml-02,ml-regression,primary,active
ch-ml-02,ml-linear-regression,primary,active
ch-ml-02,ml-logistic-regression,primary,active
ch-ml-02,ml-loss-function,primary,active
ch-ml-02,ml-gradient-descent,primary,active
ch-ml-03,ml-classification,primary,active
ch-ml-04,ml-clustering,primary,active
ch-ml-04,ml-ensemble,primary,active
ch-ml-05,ml-model-selection,primary,active
ch-rl-01,math-prob,supporting,active
ch-rl-01,rl-discount,supporting,active
ch-rl-01,algo-dp,supporting,active
ch-rl-01,rl-bellman,supporting,active
ch-rl-01,rl-mdp,supporting,active
ch-rl-01,rl-qlearning,primary,active
ch-dl-01,dl-linear-algebra,primary,active
ch-dl-01,dl-probability,primary,active
ch-dl-02,dl-linear-regression,primary,active
ch-dl-02,dl-softmax,primary,active
ch-dl-03,dl-mlp,primary,active
ch-dl-03,dl-generalization,primary,active
ch-dl-03,dl-initialization,primary,active
ch-dl-03,dl-backprop,primary,active
ch-dl-04,dl-convolution,primary,active
ch-dl-04,dl-padding-stride,primary,active
ch-dl-04,dl-pooling,primary,active
ch-dl-05,dl-sequence,primary,active
ch-dl-05,dl-rnn,primary,active
ch-dl-02,dl-forward,supporting,active
ch-dl-02,dl-loss,supporting,active
ch-dl-03,dl-neuron,supporting,active
ch-dl-03,dl-activation,supporting,active
ch-dl-03,dl-training,supporting,active
ch-rl-01,prog-python,primary,active
ch-rl-01,prog-qtable,primary,active
